# Cycle: 1650, status: NCR, move: ('sh', 0.10934806811279324, 2, 6)
#     Time      Potential        Kinetic
         0  -44719.789062   10017.676758
         1  -44182.625000    9904.690430
         2  -44295.183594   10212.155273
         3  -44481.742188   10208.570312
         4  -44475.921875   10221.154297
         5  -44323.585938   10244.440430
         6  -43985.207031   12912.362305
         7  -44488.347656   10086.742188
         8  -44092.132812   10112.624023
         9  -44178.476562   10158.309570
