# Cycle: 1650, status: NCR
#     Step              Filename       index    vel
         0    003_6636_trajB.trr           6     -1
         1    003_6636_trajB.trr           5     -1
         2    003_6636_trajB.trr           4     -1
         3    003_6636_trajB.trr           3     -1
         4    003_6636_trajB.trr           2     -1
         5    003_6636_trajB.trr           1     -1
         6    003_6636_trajB.trr           0     -1
         7    003_6637_trajF.trr           1      1
         8    003_6637_trajF.trr           2      1
         9    003_6637_trajF.trr           3      1
