# Cycle: 900, status: ACC
#     Step              Filename       index    vel
         0    010_3610_trajB.trr           2     -1
         1    010_3610_trajB.trr           1     -1
         2    010_3610_trajB.trr           0     -1
         3    010_3611_trajF.trr           1      1
         4    010_3611_trajF.trr           2      1
         5    010_3611_trajF.trr           3      1
         6    010_3611_trajF.trr           4      1
         7    010_3611_trajF.trr           5      1
         8    010_3611_trajF.trr           6      1
         9    010_3611_trajF.trr           7      1
        10    010_3611_trajF.trr           8      1
