# Cycle: 900, status: ACC, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -45001.281250    9795.907227
         1  -44399.433594   10042.179688
         2  -44403.507812   12902.568359
         3  -44307.152344    9987.145508
         4  -44109.355469    9990.014648
         5  -44275.828125   10084.282227
         6  -43898.613281   10307.707031
         7  -44149.542969   10179.096680
         8  -43898.023438   10246.275391
         9  -44018.914062   10048.830078
        10  -44286.824219    9841.591797
