# Cycle: 250, status: NCR, move: ('sh', 0.10859097568398586, 9, 8)
#     Time      Potential        Kinetic
         0  -44127.472656   10397.384766
         1  -43806.226562   10243.224609
         2  -44045.972656   10210.977539
         3  -44131.964844   10035.707031
         4  -44238.023438   10229.224609
         5  -44580.683594    9975.582031
         6  -44209.261719   10166.665039
         7  -44362.726562   10131.763672
         8  -44990.125000   12880.621094
         9  -44402.492188    9928.634766
