# Cycle: 250, status: NCR
#     Step              Filename       index    vel
         0    006_1006_trajB.trr           8     -1
         1    006_1006_trajB.trr           7     -1
         2    006_1006_trajB.trr           6     -1
         3    006_1006_trajB.trr           5     -1
         4    006_1006_trajB.trr           4     -1
         5    006_1006_trajB.trr           3     -1
         6    006_1006_trajB.trr           2     -1
         7    006_1006_trajB.trr           1     -1
         8    006_1006_trajB.trr           0     -1
         9    006_1007_trajF.trr           1      1
