#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
820000,1639.999999975043,-37479.873209149366,5763.100534781558,-31716.772674367807,260.62856689835377,25.7712845966222,1.029624167095871
825000,1649.9999999748065,-37590.46899977664,5805.3632780076605,-31785.10572176898,262.5398433256406,25.900044548493135,1.0245054748113
830000,1659.99999997457,-37268.753204334374,5647.942833259649,-31620.810371074724,255.42071280422053,26.377588088577866,1.0059576845571399
835000,1669.9999999743336,-37411.73101020384,5738.866418062395,-31672.864592141443,259.5326111584801,26.146634599655222,1.014843318999749
840000,1679.9999999740971,-37334.765140669144,5659.785034463483,-31674.98010620566,255.95626062436529,26.044588332851685,1.0188196142197357
845000,1689.9999999738607,-37229.49439380915,5871.716802815562,-31357.77759099359,265.54059335159747,25.8442561660943,1.0267170108226733
850000,1699.9999999736242,-37496.382543448926,5786.756144446048,-31709.62639900288,261.6983604250767,26.04826477853618,1.0186758182699547
855000,1709.9999999733877,-37378.34049316412,5517.193675458331,-31861.14681770579,249.50775580906452,25.988598950612822,1.0210145413461038
860000,1719.9999999731513,-37366.389723529326,5751.838935705348,-31614.550787823977,260.11927603825126,25.944736109669723,1.0227406948995008
865000,1729.9999999729148,-37531.63183408133,5850.304301073195,-31681.327533008134,264.57224140126436,26.3725685138632,1.0061491516777874
870000,1739.9999999726783,-37711.49510057095,5946.661760763207,-31764.833339807745,268.9298795298044,26.01817198335222,1.0198540256696775
875000,1749.9999999724419,-37406.11998785091,5884.6095691528235,-31521.510418698083,266.1236515844976,26.137145256260617,1.015211767682698
880000,1759.9999999722054,-37449.15010329662,5812.99370870709,-31636.15639458953,262.88491941897047,25.98956283657835,1.020976674545758
885000,1769.999999971969,-37197.27376967021,5717.549166213108,-31479.7246034571,258.5685667580467,26.118130978360135,1.0159508526767411
890000,1779.9999999717324,-37615.125865270085,5743.65361444929,-31871.472250820796,259.7491057565263,26.285431172428897,1.0094845796412268
895000,1789.999999971496,-37437.507113140455,5911.255943328695,-31526.25116981176,267.3286984637914,26.0705223149715,1.0178061305104615
900000,1799.9999999712595,-37269.014347445125,5752.205687114475,-31516.80866033065,260.13586188359466,26.290662943488186,1.0092836949309432
905000,1809.999999971023,-37532.230345218944,5799.482304418929,-31732.748040800016,262.2738841064412,26.21881634754624,1.0120494032245322
910000,1819.9999999707866,-37226.15888632958,5695.260992200043,-31530.897894129535,257.56061369237517,26.435867322609173,1.003739998917836
915000,1829.99999997055,-37337.04977181832,5652.997676396399,-31684.052095421917,255.64931137102954,25.96693909412293,1.021866202312361
920000,1839.9999999703136,-37713.4327025508,5884.185671090804,-31829.24703146,266.10448135768166,26.16258989394679,1.0142244152948747
925000,1849.9999999700772,-37640.514127449605,5853.895149166475,-31786.61897828313,264.7346327367708,25.572253884156606,1.037637806897713
930000,1859.9999999698407,-37450.96002736314,5480.812445007489,-31970.147582355647,247.86246298497167,26.426294891126833,1.0041035849750304
935000,1869.9999999696042,-37283.56502885961,5850.783492891791,-31432.781535967817,264.5939122147781,26.54634125668592,0.9995628844372211
940000,1879.9999999693678,-37793.787031668646,5560.047693246745,-32233.7393384219,251.4457718430767,26.07418394379821,1.0176631987786184
945000,1889.9999999691313,-37420.46892975895,5772.571510721261,-31647.89741903769,261.05687920548706,26.346940297410207,1.007127853870608
950000,1899.9999999688948,-37401.16769747382,5878.942626334073,-31522.22507113975,265.8673716225862,25.841979483110244,1.0268074647737535
955000,1909.9999999686584,-37498.05249345371,5791.50156768728,-31706.55092576643,261.9129658880951,26.015147046782403,1.0199726101901716
960000,1919.999999968422,-37446.77543389512,5693.111577108333,-31753.663856786785,257.4634092497941,25.99421152565653,1.020794087622075
965000,1929.9999999681854,-37298.125678771976,5793.289182113671,-31504.836496658303,261.99380837614564,25.848623756692035,1.0265435284893307
970000,1939.999999967949,-37384.55185507699,5648.322091078404,-31736.229763998588,255.43786423532788,26.47228077891774,1.0023593229231607
975000,1949.9999999677125,-37484.133153400086,5663.65765699504,-31820.475496405044,256.13139483457843,26.074563240045887,1.0176483952388953
980000,1959.999999967476,-37696.080736926895,5662.118116528209,-32033.962620398685,256.061771161847,26.425167363798405,1.004146428761677
