# Cycle: 0, status: ACC, move: ('ld', 0, 0, 0)
#     Time       Orderp
# Cycle: 42, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108364
         1     0.110152
         2     0.108922
         3     0.110291
         4     0.109163
         5     0.108284
# Cycle: 43, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 44, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 45, status: ACC, move: ('sh', 0.10892199043352069, 2, 1)
#     Time       Orderp
         0     0.107962
         1     0.108922
         2     0.109240
         3     0.109125
         4     0.108373
# Cycle: 46, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108373
         1     0.109125
         2     0.109240
         3     0.108922
         4     0.107962
# Cycle: 47, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108114
         1     0.110765
         2     0.108274
# Cycle: 48, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108373
         1     0.109125
         2     0.109240
         3     0.108922
         4     0.107962
# Cycle: 49, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108114
         1     0.110765
         2     0.108274
# Cycle: 50, status: ACC, move: ('sh', 0.11076551810017414, 1, 1)
#     Time       Orderp
         0     0.108071
         1     0.110765
         2     0.108790
         3     0.109021
         4     0.108743
         5     0.108067
# Cycle: 51, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 52, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108373
         1     0.109125
         2     0.109240
         3     0.108922
         4     0.107962
# Cycle: 53, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.107962
         1     0.108922
         2     0.109240
         3     0.109125
         4     0.108373
# Cycle: 54, status: ACC, move: ('sh', 0.10948515881159393, 3, 1)
#     Time       Orderp
         0     0.108231
         1     0.109485
         2     0.109289
         3     0.108355
# Cycle: 55, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108067
         1     0.108743
         2     0.109021
         3     0.108790
         4     0.110765
         5     0.108071
# Cycle: 56, status: NCR, move: ('sh', 0.10915585188161016, 1, 0)
#     Time       Orderp
         0     0.107977
# Cycle: 57, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108071
         1     0.110765
         2     0.108790
         3     0.109021
         4     0.108743
         5     0.108067
# Cycle: 58, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108067
         1     0.108743
         2     0.109021
         3     0.108790
         4     0.110765
         5     0.108071
# Cycle: 59, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108231
         1     0.109485
         2     0.109289
         3     0.108355
# Cycle: 60, status: BTL, move: ('sh', 0.10924284873619865, 2, 0)
#     Time       Orderp
         0     0.109243
         1     0.109270
         2     0.108252
# Cycle: 61, status: ACC, move: ('s+', 0.1092245393673053, 2, 2)
#     Time       Orderp
         0     0.108469
         1     0.109143
         2     0.109225
         3     0.108248
# Cycle: 62, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108248
