# Cycle: 550, status: NCR
#     Step              Filename       index    vel
         0    005_2351_trajB.trr           1     -1
         1    005_2351_trajB.trr           0     -1
         2    005_2352_trajF.trr           1      1
         3    005_2352_trajF.trr           2      1
         4    005_2352_trajF.trr           3      1
         5    005_2352_trajF.trr           4      1
         6    005_2352_trajF.trr           5      1
         7    005_2352_trajF.trr           6      1
         8    005_2352_trajF.trr           7      1
         9    005_2352_trajF.trr           8      1
