# Cycle: 150, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44040.695312    9904.359375
         1  -43861.234375   10046.773438
         2  -43835.363281   10502.493164
         3  -43586.050781   10428.066406
         4  -44112.886719   10286.261719
         5  -44108.003906   10082.876953
         6  -44041.214844   10087.913086
         7  -44425.261719    9875.579102
         8  -43943.097656   12911.633789
         9  -44064.027344   10244.669922
        10  -43668.203125   10275.867188
