# Cycle: 1150, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44723.222656    9915.699219
         1  -44968.503906    9909.019531
         2  -44462.292969   10125.743164
         3  -44142.343750   12869.052734
         4  -44229.406250    9903.479492
         5  -44618.332031    9950.975586
         6  -44743.417969   10081.120117
         7  -44011.156250   10095.562500
         8  -43909.925781   10482.531250
         9  -44265.195312   10003.281250
        10  -44224.464844   10447.421875
        11  -44618.570312    9784.354492
        12  -44535.968750    9646.002930
        13  -44156.539062    9805.109375
        14  -44219.707031    9877.918945
        15  -44170.464844   10007.294922
        16  -44443.640625    9820.670898
        17  -44434.785156   10127.783203
