# Cycle: 1150, status: ACC
#     Step              Filename       index    vel
         0    009_4560_trajB.trr           4     -1
         1    009_4560_trajB.trr           3     -1
         2    009_4560_trajB.trr           2     -1
         3    009_4560_trajB.trr           1     -1
         4    009_4560_trajB.trr           0     -1
         5    009_4561_trajF.trr           1      1
         6    009_4561_trajF.trr           2      1
         7    009_4561_trajF.trr           3      1
         8    009_4561_trajF.trr           4      1
         9    009_4561_trajF.trr           5      1
        10    009_4561_trajF.trr           6      1
        11    009_4561_trajF.trr           7      1
        12    009_4561_trajF.trr           8      1
        13    009_4561_trajF.trr           9      1
        14    009_4561_trajF.trr          10      1
