# Cycle: 1800, status: NCR
#     Step              Filename       index    vel
         0    002_7197_trajB.trr           7     -1
         1    002_7197_trajB.trr           6     -1
         2    002_7197_trajB.trr           5     -1
         3    002_7197_trajB.trr           4     -1
         4    002_7197_trajB.trr           3     -1
         5    002_7197_trajB.trr           2     -1
         6    002_7197_trajB.trr           1     -1
         7    002_7197_trajB.trr           0     -1
         8    002_7198_trajF.trr           1      1
         9    002_7198_trajF.trr           2      1
        10    002_7198_trajF.trr           3      1
