# Cycle: 500, status: NCR
#     Step              Filename       index    vel
         0    007_2030_trajB.trr          10     -1
         1    007_2030_trajB.trr           9     -1
         2    007_2030_trajB.trr           8     -1
         3    007_2030_trajB.trr           7     -1
         4    007_2030_trajB.trr           6     -1
         5    007_2030_trajB.trr           5     -1
         6    007_2030_trajB.trr           4     -1
         7    007_2030_trajB.trr           3     -1
         8    007_2030_trajB.trr           2     -1
         9    007_2030_trajB.trr           1     -1
        10    007_2030_trajB.trr           0     -1
        11    007_2031_trajF.trr           1      1
        12    007_2031_trajF.trr           2      1
        13    007_2031_trajF.trr           3      1
