# Cycle: 250, status: ACC, move: ('sh', 0.10909170454255453, 11, 5)
#     Time      Potential        Kinetic
         0  -44399.488281   10249.679688
         1  -44484.601562   10249.515625
         2  -44207.042969   10086.197266
         3  -44059.160156   10389.763672
         4  -44564.925781    9832.346680
         5  -43998.843750   12937.175781
         6  -44403.140625   10193.791016
         7  -44333.640625    9984.394531
         8  -43727.210938   10653.291016
         9  -44499.132812    9778.559570
