# Cycle: 250, status: ACC
#     Step              Filename       index    vel
         0    003_1003_trajB.trr           5     -1
         1    003_1003_trajB.trr           4     -1
         2    003_1003_trajB.trr           3     -1
         3    003_1003_trajB.trr           2     -1
         4    003_1003_trajB.trr           1     -1
         5    003_1003_trajB.trr           0     -1
         6    003_1004_trajF.trr           1      1
         7    003_1004_trajF.trr           2      1
         8    003_1004_trajF.trr           3      1
         9    003_1004_trajF.trr           4      1
