# Cycle: 1250, status: NCR
#     Step              Filename       index    vel
         0    008_5127_trajB.trr           1     -1
         1    008_5127_trajB.trr           0     -1
         2    008_5128_trajF.trr           1      1
         3    008_5128_trajF.trr           2      1
         4    008_5128_trajF.trr           3      1
         5    008_5128_trajF.trr           4      1
         6    008_5128_trajF.trr           5      1
         7    008_5128_trajF.trr           6      1
         8    008_5128_trajF.trr           7      1
         9    008_5128_trajF.trr           8      1
