# Cycle: 50, status: NCR
#     Step              Filename       index    vel
         0     006_297_trajB.trr          10     -1
         1     006_297_trajB.trr           9     -1
         2     006_297_trajB.trr           8     -1
         3     006_297_trajB.trr           7     -1
         4     006_297_trajB.trr           6     -1
         5     006_297_trajB.trr           5     -1
         6     006_297_trajB.trr           4     -1
         7     006_297_trajB.trr           3     -1
         8     006_297_trajB.trr           2     -1
         9     006_297_trajB.trr           1     -1
        10     006_297_trajB.trr           0     -1
        11     006_298_trajF.trr           1      1
        12     006_298_trajF.trr           2      1
