# Cycle: 50, status: NCR, move: ('sh', 0.109183332061263, 3, 10)
#     Time      Potential        Kinetic
         0  -44651.410156    9671.959961
         1  -44333.441406   10112.726562
         2  -44271.359375   10086.158203
         3  -44134.058594   10027.443359
         4  -44233.085938   10569.781250
         5  -44139.285156   10389.796875
         6  -44204.683594   10235.248047
         7  -44534.726562   10195.351562
         8  -44695.937500    9706.628906
         9  -44345.824219    9939.318359
        10  -43971.312500   12955.210938
        11  -44452.992188   10037.966797
        12  -44863.640625    9988.667969
