# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time       Orderp
# Cycle: 34, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108395
         1     0.109101
         2     0.108816
         3     0.111808
         4     0.108677
         5     0.109586
         6     0.108919
         7     0.109316
         8     0.108651
         9     0.108564
        10     0.110375
        11     0.108587
        12     0.108623
        13     0.108604
        14     0.108587
        15     0.109599
        16     0.108193
# Cycle: 35, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108415
         1     0.109980
         2     0.111310
         3     0.109377
         4     0.109010
         5     0.108787
         6     0.108231
# Cycle: 36, status: NCR, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108145
         1     0.111167
         2     0.107895
# Cycle: 37, status: NCR, move: ('sh', 0.10951712194903587, 1, 4)
#     Time       Orderp
         0     0.108488
         1     0.109344
         2     0.109290
         3     0.109554
         4     0.109243
         5     0.108310
# Cycle: 38, status: NCR, move: ('sh', 0.10901834707974623, 4, 1)
#     Time       Orderp
         0     0.108050
         1     0.109018
         2     0.110292
         3     0.108659
         4     0.108937
         5     0.108266
# Cycle: 39, status: NCR, move: ('sh', 0.10951712194903587, 1, 2)
#     Time       Orderp
         0     0.108216
         1     0.108794
         2     0.109243
         3     0.107904
# Cycle: 40, status: BTL, move: ('sh', 0.11131037687475502, 2, 0)
#     Time       Orderp
         0     0.111310
         1     0.109688
         2     0.110207
         3     0.111270
         4     0.109558
         5     0.108879
# Cycle: 41, status: NCR, move: ('sh', 0.11018620603324154, 3, 1)
#     Time       Orderp
         0     0.108428
         1     0.110186
         2     0.107854
# Cycle: 42, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108231
         1     0.108787
         2     0.109010
         3     0.109377
         4     0.111310
         5     0.109980
         6     0.108415
# Cycle: 43, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108485
         1     0.111548
         2     0.108616
         3     0.111432
         4     0.108639
         5     0.108836
         6     0.107954
# Cycle: 44, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108485
         1     0.111548
         2     0.108616
         3     0.111432
         4     0.108639
         5     0.108836
         6     0.107954
# Cycle: 45, status: ACC, move: ('sh', 0.11131037687475502, 4, 5)
#     Time       Orderp
         0     0.108386
         1     0.108634
         2     0.109080
         3     0.109194
         4     0.109163
         5     0.111310
         6     0.108872
         7     0.109019
         8     0.108406
# Cycle: 46, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108406
         1     0.109019
         2     0.108872
         3     0.111310
         4     0.109163
         5     0.109194
         6     0.109080
         7     0.108634
         8     0.108386
# Cycle: 47, status: NCR, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.107811
         1     0.109552
         2     0.111167
         3     0.109723
         4     0.108399
# Cycle: 48, status: NCR, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.107811
         1     0.109552
         2     0.111167
         3     0.109723
         4     0.108399
# Cycle: 49, status: NCR, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.107811
         1     0.109552
         2     0.111167
         3     0.109723
         4     0.108399
# Cycle: 50, status: ACC, move: ('sh', 0.11131037687475502, 3, 5)
#     Time       Orderp
         0     0.107675
         1     0.110103
         2     0.110456
         3     0.108879
         4     0.108641
         5     0.111310
         6     0.108511
         7     0.108317
# Cycle: 51, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.107954
         1     0.108836
         2     0.108639
         3     0.111432
         4     0.108616
         5     0.111548
         6     0.108485
# Cycle: 52, status: NCR, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.107811
         1     0.109552
         2     0.111167
         3     0.109723
         4     0.108399
# Cycle: 53, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108317
         1     0.108511
         2     0.111310
         3     0.108641
         4     0.108879
