# Cycle: 1550, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44309.023438    9776.564453
         1  -44066.703125   10306.883789
         2  -44040.035156    9951.597656
         3  -43769.234375   10160.724609
         4  -44403.507812   12762.130859
         5  -44482.558594   10094.648438
         6  -44181.832031   10105.127930
         7  -44061.617188   10385.108398
         8  -43990.195312   10458.548828
         9  -43977.468750   10166.568359
