# Cycle: 0, status: ACC, move: ('ld', 0, 0, 0)
#     Time      Potential        Kinetic
         4  -44115.300781    9722.571289
         5  -44271.128906   10351.676758
         6  -43954.292969   10031.665039
         7  -44401.765625    9892.054688
         8  -43957.980469    9895.179688
         9  -43654.238281   10096.376953
# Cycle: 23, status: NCR, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44206.519531    9955.681641
         1  -44287.238281   10298.566406
         2  -44253.691406   10099.870117
         3  -44230.218750   12641.027344
         4  -44115.300781    9722.571289
         5  -44271.128906   10351.676758
         6  -43954.292969   10031.665039
         7  -44401.765625    9892.054688
         8  -43957.980469    9895.179688
         9  -43654.238281   10096.376953
# Cycle: 24, status: NCR, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44206.519531    9955.681641
         1  -44287.238281   10298.566406
         2  -44253.691406   10099.870117
         3  -44230.218750   12641.027344
         4  -44115.300781    9722.571289
         5  -44271.128906   10351.676758
         6  -43954.292969   10031.665039
         7  -44401.765625    9892.054688
         8  -43957.980469    9895.179688
         9  -43654.238281   10096.376953
# Cycle: 25, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43330.312500   10288.972656
         1  -41677.492188   13080.958984
         2  -43522.515625   10125.353516
# Cycle: 26, status: ACC, move: ('sh', 0.10981347822558005, 1, 1)
#     Time      Potential        Kinetic
         0  -43753.531250   10194.950195
         1  -41677.492188   12948.007812
         2  -43787.023438    9810.880859
         3  -44072.554688   10080.131836
# Cycle: 27, status: BTL, move: ('sh', 0.10981347822558005, 1, 0)
#     Time      Potential        Kinetic
         0  -41677.492188   12819.736328
         1  -43856.527344   10050.607422
         2  -43406.535156   10149.938477
         3  -43530.480469   10101.697266
# Cycle: 28, status: ACC, move: ('sh', 0.10981347822558005, 1, 3)
#     Time      Potential        Kinetic
         0  -43670.179688   10271.831055
         1  -43347.730469   10187.568359
         2  -43428.308594   10173.015625
         3  -41677.492188   12983.240234
         4  -43753.539062   10071.848633
         5  -43638.957031   10341.380859
         6  -43492.906250   10189.807617
         7  -44089.339844   10119.234375
# Cycle: 29, status: NCR, move: ('s+', 0.11078357278947105, 8, 1)
#     Time      Potential        Kinetic
         0  -43839.507812    9751.640625
         1  -44171.824219   12863.828125
         2  -43870.031250   10585.642578
         3  -43773.722656   10174.764648
# Cycle: 30, status: ACC, move: ('s-', 0.11076551810017414, 1, 1)
#     Time      Potential        Kinetic
         0  -43817.230469   10287.308594
         1  -43653.101562   12845.902344
         2  -44203.867188   10155.354492
# Cycle: 31, status: BTL, move: ('sh', 0.11076551810017414, 1, 0)
#     Time      Potential        Kinetic
         0  -43653.101562   12966.765625
         1  -44630.539062    9713.677734
# Cycle: 32, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44203.867188   10155.354492
         1  -43653.101562   12845.902344
         2  -43817.230469   10287.308594
# Cycle: 33, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43817.230469   10287.308594
         1  -43653.101562   12845.902344
         2  -44203.867188   10155.354492
# Cycle: 34, status: ACC, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43670.179688   10271.831055
         1  -43347.730469   10187.568359
         2  -43428.308594   10173.015625
         3  -41677.492188   12983.240234
         4  -43753.539062   10071.848633
         5  -43638.957031   10341.380859
         6  -43492.906250   10189.807617
         7  -44089.339844   10119.234375
# Cycle: 35, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44089.339844   10119.234375
         1  -43492.906250   10189.807617
         2  -43638.957031   10341.380859
         3  -43753.539062   10071.848633
         4  -41677.492188   12983.240234
         5  -43428.308594   10173.015625
         6  -43347.730469   10187.568359
         7  -43670.179688   10271.831055
# Cycle: 36, status: NCR, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43773.722656   10174.764648
         1  -43870.031250   10585.642578
         2  -44171.824219   12863.828125
         3  -43839.507812    9751.640625
# Cycle: 37, status: NCR, move: ('sh', 0.10892658077806322, 1, 1)
#     Time      Potential        Kinetic
         0  -44344.000000   10356.950195
         1  -43309.246094   12866.887695
         2  -44010.207031    9777.407227
         3  -43590.351562   10035.579102
         4  -44007.562500    9903.773438
# Cycle: 38, status: NCR, move: ('sh', 0.10892658077806322, 1, 1)
#     Time      Potential        Kinetic
         0  -44062.152344    9948.866211
         1  -43309.246094   12769.983398
         2  -43760.890625   10024.373047
         3  -43702.218750   10312.427734
# Cycle: 39, status: ACC, move: ('sh', 0.10933434958877303, 6, 1)
#     Time      Potential        Kinetic
         0  -43933.585938   10065.818359
         1  -43184.417969   12862.348633
         2  -43940.121094    9790.238281
         3  -43571.300781   10605.110352
         4  -43863.183594   10248.970703
# Cycle: 40, status: BTL, move: ('sh', 0.10867382389517725, 2, 0)
#     Time      Potential        Kinetic
         0  -43734.101562   12833.682617
         1  -44399.550781    9842.272461
         2  -44076.789062   10095.974609
         3  -44228.929688    9896.335938
         4  -44027.621094   10023.685547
# Cycle: 41, status: FTL, move: ('sh', 0.10867382389517725, 2, 1)
#     Time      Potential        Kinetic
         0  -44095.519531   10307.238281
         1  -43734.101562   12883.296875
         2  -43811.964844   10097.333984
         3  -44357.449219    9964.726562
         4  -44058.421875    9955.488281
         5  -44165.000000    9884.036133
         6  -43586.375000   10203.007812
# Cycle: 42, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43863.183594   10248.970703
         1  -43571.300781   10605.110352
         2  -43940.121094    9790.238281
         3  -43184.417969   12862.348633
         4  -43933.585938   10065.818359
# Cycle: 43, status: ACC, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44042.273438   10154.816406
         1  -43653.101562   12870.498047
         2  -44095.250000    9800.064453
# Cycle: 44, status: ACC, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43863.183594   10248.970703
         1  -43571.300781   10605.110352
         2  -43940.121094    9790.238281
         3  -43184.417969   12862.348633
         4  -43933.585938   10065.818359
# Cycle: 45, status: ACC, move: ('sh', 0.10936635680134912, 1, 1)
#     Time      Potential        Kinetic
         0  -44104.222656   10236.699219
         1  -43450.640625   12783.872070
         2  -43871.980469   10490.960938
         3  -43936.652344   10121.115234
         4  -43820.160156    9921.916016
         5  -44245.691406   10039.279297
         6  -44095.152344   10032.191406
         7  -44102.660156    9803.888672
         8  -44083.675781   10165.201172
# Cycle: 46, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
