#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
750000,1499.9999999783536,-36440.19363430891,6640.235704963588,-29799.95792934532,297.94321442819137
755000,1509.999999978117,-36454.473183067304,6442.508690619665,-30011.964492447638,289.07132721658513
760000,1519.9999999778806,-36589.02068343663,6446.237536834102,-30142.78314660253,289.2386382092367
765000,1529.9999999776442,-36477.08023207266,6545.454079508451,-29931.626152564208,293.690422296773
770000,1539.9999999774077,-36664.4543998155,6674.862354482377,-29989.59204533312,299.4968904904423
775000,1549.9999999771712,-36322.4553445593,6896.5344589805545,-29425.920885578744,309.44317889009653
780000,1559.9999999769348,-35874.14731167257,6833.6351890619635,-29040.512122610606,306.620928069885
785000,1569.9999999766983,-36282.7030959842,6455.705338094702,-29826.997757889498,289.6634525180182
790000,1579.9999999764618,-36753.06273289129,6562.581896661326,-30190.480836229963,294.4589367178577
795000,1589.9999999762254,-36190.55720869118,6562.665380814837,-29627.89182787634,294.4626825995034
800000,1599.9999999759889,-36203.54693570207,6368.043292794597,-29835.503642907475,285.7301114860817
805000,1609.9999999757524,-36450.719041082324,6567.598916258884,-29883.12012482344,294.6840472428693
810000,1619.999999975516,-35898.36200421376,6506.891408365023,-29391.47059584874,291.9601394110583
815000,1629.9999999752795,-36378.4241196184,6619.678584302361,-29758.74553531604,297.02082930794387
820000,1639.999999975043,-36404.359231098,6725.474371410444,-29678.884859687558,301.76781996979355
825000,1649.9999999748065,-36312.897911237225,6359.315663363807,-29953.58224787342,285.3385082234138
830000,1659.99999997457,-36099.88157826184,6473.779696325914,-29626.101881935927,290.4744376440595
835000,1669.9999999743336,-36662.0062669068,6578.786881556815,-30083.219385349985,295.1860442339227
840000,1679.9999999740971,-36104.39208723261,6652.542154016032,-29451.84993321658,298.4953970843192
845000,1689.9999999738607,-36035.62948001889,6572.92338900148,-29462.70609101741,294.9229529978079
850000,1699.9999999736242,-36558.32259850523,6543.976786493682,-30014.345812011547,293.6241370850683
855000,1709.9999999733877,-36522.37759071818,6661.792459495992,-29860.585131222186,298.91045249373514
860000,1719.9999999731513,-36903.34372918492,6277.7861604359405,-30625.557568748976,281.6803305242542
865000,1729.9999999729148,-36795.06888367671,6621.675890602775,-30173.392993073932,297.11044718986614
870000,1739.9999999726783,-36988.536429302985,6721.250619284456,-30267.28581001853,301.5783028590645
875000,1749.9999999724419,-36201.7160248344,6580.272149279616,-29621.443875554785,295.2526872657787
880000,1759.9999999722054,-35863.55974137492,6213.037828488125,-29650.521912886794,278.77511344965916
885000,1769.999999971969,-36446.914114234496,6467.840183593111,-29979.073930641385,290.20793543022603
