# Cycle: 650, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44280.582031   10266.067383
         1  -43921.476562   10457.108398
         2  -44285.863281   10263.930664
         3  -44566.230469    9722.375000
         4  -44080.890625    9857.365234
         5  -44333.027344    9812.874023
         6  -44152.171875    9923.976562
         7  -44078.453125   10119.489258
         8  -43852.613281   13020.193359
         9  -44201.933594   10066.814453
        10  -44301.378906   10159.787109
        11  -44244.281250   10387.246094
        12  -44472.140625   10182.396484
        13  -44387.039062    9859.762695
        14  -44435.425781    9757.777344
        15  -44220.566406   10604.870117
        16  -44528.835938   10073.247070
        17  -44103.003906   10257.666016
        18  -44297.914062   10468.289062
        19  -44568.378906    9804.017578
        20  -44253.457031   10618.473633
        21  -44419.128906   10422.265625
