# Time(ps)    C(t)
0.000000 1.000000
10.000000 0.137160
20.000000 0.042822
30.000000 0.013881
40.000000 0.002976
50.000000 0.000826
60.000000 0.000227
70.000000 0.000053
80.000000 0.000012
90.000000 0.000003
100.000000 0.000000
110.000000 0.000000
120.000000 0.000000
130.000000 0.000000
140.000000 0.000000
150.000000 0.000000
160.000000 0.000000
170.000001 0.000000
180.000001 0.000000
190.000001 0.000000
200.000001 0.000000
