# Cycle: 0, status: ACC, move: ('ld', 0, 0, 0)
#     Time       Orderp
         0     0.106311
         1     0.109814
         2     0.109814
         3     0.109814
         4     0.106311
# Cycle: 1, status: ACC, move: ('sh', 0.10981347822558005, 2, 1)
#     Time       Orderp
         0     0.108084
         1     0.109814
         2     0.108281
# Cycle: 2, status: ACC, move: ('s+', 0.10981347822558005, 2, 6)
#     Time       Orderp
         0     0.107965
         1     0.108662
         2     0.108929
         3     0.108628
         4     0.109059
         5     0.110017
         6     0.109814
         7     0.108395
# Cycle: 3, status: ACC, move: ('s+', 0.10981347822558005, 2, 1)
#     Time       Orderp
         0     0.108084
         1     0.109814
         2     0.108281
# Cycle: 4, status: ACC, move: ('s-', 0.10981347822558005, 1, 2)
#     Time       Orderp
         0     0.108363
         1     0.108692
         2     0.109814
         3     0.108554
         4     0.108381
# Cycle: 5, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.107686
         1     0.110344
         2     0.109052
         3     0.108541
         4     0.109298
         5     0.109814
         6     0.108825
         7     0.109421
         8     0.109708
         9     0.107903
# Cycle: 6, status: ACC, move: ('sh', 0.11076551810017414, 1, 1)
#     Time       Orderp
         0     0.107410
         1     0.110765
         2     0.108480
# Cycle: 7, status: BTL, move: ('sh', 0.11076551810017414, 1, 0)
#     Time       Orderp
         0     0.110765
         1     0.108547
# Cycle: 8, status: BTL, move: ('sh', 0.11076551810017414, 1, 0)
#     Time       Orderp
         0     0.110765
         1     0.109167
         2     0.109060
# Cycle: 9, status: ACC, move: ('s+', 0.10981347822558005, 1, 2)
#     Time       Orderp
         0     0.108363
         1     0.108692
         2     0.109814
         3     0.108554
         4     0.108381
# Cycle: 10, status: ACC, move: ('s+', 0.11076551810017414, 1, 1)
#     Time       Orderp
         0     0.107410
         1     0.110765
         2     0.108480
# Cycle: 11, status: ACC, move: ('s-', 0.10981347822558005, 1, 1)
#     Time       Orderp
         0     0.108422
         1     0.109814
         2     0.108866
         3     0.108195
# Cycle: 12, status: ACC, move: ('s-', 0.11076551810017414, 1, 1)
#     Time       Orderp
         0     0.107410
         1     0.110765
         2     0.108480
