# Cycle: 1500, status: ACC
#     Step              Filename       index    vel
         0    009_6010_trajB.trr           1     -1
         1    009_6010_trajB.trr           0     -1
         2    009_6011_trajF.trr           1      1
         3    009_6011_trajF.trr           2      1
         4    009_6011_trajF.trr           3      1
         5    009_6011_trajF.trr           4      1
         6    009_6011_trajF.trr           5      1
         7    009_6011_trajF.trr           6      1
         8    009_6011_trajF.trr           7      1
         9    009_6011_trajF.trr           8      1
        10    009_6011_trajF.trr           9      1
        11    009_6011_trajF.trr          10      1
        12    009_6011_trajF.trr          11      1
        13    009_6011_trajF.trr          12      1
        14    009_6011_trajF.trr          13      1
        15    009_6011_trajF.trr          14      1
