# Cycle: 500, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44417.234375   10426.005859
         1  -44170.371094   10214.408203
         2  -44011.117188   10326.048828
         3  -44039.082031   13028.943359
         4  -44133.390625   10135.601562
         5  -44254.339844   10409.250000
         6  -44409.714844   10047.637695
         7  -44051.332031   10036.904297
         8  -44429.972656    9977.468750
         9  -44652.214844    9736.466797
