# Cycle: 850, status: NCR
#     Step              Filename       index    vel
         0    007_3349_trajF.trr           3     -1
         1    007_3349_trajF.trr           2     -1
         2    007_3349_trajF.trr           1     -1
         3    007_3348_trajB.trr           0      1
         4    007_3348_trajB.trr           1      1
         5    007_3348_trajB.trr           2      1
         6    007_3348_trajB.trr           3      1
         7    007_3348_trajB.trr           4      1
         8    007_3348_trajB.trr           5      1
         9    007_3348_trajB.trr           6      1
