# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44462.218750    9897.711914
         1  -43746.226562   13015.611328
         2  -44403.507812    9655.972656
         3  -44235.183594    9867.650391
# Cycle: 1, status: BTL, move: ('sh', 0.11101801655587246, 1, 0)
#     Time      Potential        Kinetic
         0  -43746.226562   12977.757812
         1  -43785.042969   10238.355469
         2  -43809.105469   10025.857422
         3  -44320.398438   10210.541016
# Cycle: 2, status: NCR, move: ('s-', 0.11131037687475502, 5, 3)
#     Time      Potential        Kinetic
         0  -43916.023438   10417.001953
         1  -44250.632812   10171.980469
         2  -44723.019531    9905.580078
         3  -43943.097656   12860.566406
         4  -44080.085938   10069.201172
# Cycle: 3, status: NCR, move: ('s-', 0.11131037687475502, 5, 3)
#     Time      Potential        Kinetic
         0  -43916.023438   10417.001953
         1  -44250.632812   10171.980469
         2  -44723.019531    9905.580078
         3  -43943.097656   12860.566406
         4  -44080.085938   10069.201172
# Cycle: 4, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44189.570312    9979.104492
         1  -44111.265625   12902.771484
         2  -43545.156250   10402.332031
# Cycle: 5, status: NCR, move: ('s-', 0.11131037687475502, 5, 3)
#     Time      Potential        Kinetic
         0  -43916.023438   10417.001953
         1  -44250.632812   10171.980469
         2  -44723.019531    9905.580078
         3  -43943.097656   12860.566406
         4  -44080.085938   10069.201172
# Cycle: 6, status: BTL, move: ('sh', 0.11143159336561596, 1, 0)
#     Time      Potential        Kinetic
         0  -44111.265625   12778.937500
         1  -43770.703125   10111.586914
# Cycle: 7, status: BTL, move: ('sh', 0.11143159336561596, 1, 0)
#     Time      Potential        Kinetic
         0  -44111.265625   12902.917969
         1  -44324.914062    9916.982422
# Cycle: 8, status: BTL, move: ('sh', 0.11143159336561596, 1, 0)
#     Time      Potential        Kinetic
         0  -44111.265625   12852.630859
         1  -44016.148438   10328.394531
# Cycle: 9, status: NCR, move: ('s-', 0.11131037687475502, 3, 1)
#     Time      Potential        Kinetic
         0  -44278.816406   10252.382812
         1  -43943.097656   12810.430664
