# Cycle: 1200, status: ACC, move: ('s+', 0.11141364368873335, 5, 5)
#     Time      Potential        Kinetic
         0  -44245.832031   10161.431641
         1  -44534.398438   10047.775391
         2  -44150.601562   10500.395508
         3  -43780.218750   10162.568359
         4  -44323.507812    9933.244141
         5  -43748.437500   13022.949219
         6  -44495.402344   10034.048828
         7  -44572.148438    9905.787109
         8  -44273.164062   10115.277344
