# Cycle: 500, status: ACC
#     Step              Filename       index    vel
         0    001_2020_trajB.trr          10     -1
         1    001_2020_trajB.trr           9     -1
         2    001_2020_trajB.trr           8     -1
         3    001_2020_trajB.trr           7     -1
         4    001_2020_trajB.trr           6     -1
         5    001_2020_trajB.trr           5     -1
         6    001_2020_trajB.trr           4     -1
         7    001_2020_trajB.trr           3     -1
         8    001_2020_trajB.trr           2     -1
         9    001_2020_trajB.trr           1     -1
        10    001_2020_trajB.trr           0     -1
        11    001_2021_trajF.trr           1      1
        12    001_2021_trajF.trr           2      1
        13    001_2021_trajF.trr           3      1
        14    001_2021_trajF.trr           4      1
        15    001_2021_trajF.trr           5      1
        16    001_2021_trajF.trr           6      1
        17    001_2021_trajF.trr           7      1
        18    001_2021_trajF.trr           8      1
        19    001_2021_trajF.trr           9      1
        20    001_2021_trajF.trr          10      1
        21    001_2021_trajF.trr          11      1
        22    001_2021_trajF.trr          12      1
        23    001_2021_trajF.trr          13      1
        24    001_2021_trajF.trr          14      1
