# Cycle: 500, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108224
         1     0.108599
         2     0.108615
         3     0.108586
         4     0.109112
         5     0.111036
         6     0.108666
         7     0.109871
         8     0.109046
         9     0.108640
        10     0.109700
        11     0.108753
        12     0.109294
        13     0.109458
        14     0.108889
        15     0.109282
        16     0.110233
        17     0.108768
        18     0.109906
        19     0.108810
        20     0.108705
        21     0.109516
        22     0.108618
        23     0.108860
        24     0.108031
