# Cycle: 750, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43749.300781   10313.216797
         1  -44296.710938   10131.677734
         2  -44288.957031   10090.779297
         3  -44225.062500    9953.625000
         4  -44262.320312   10062.439453
         5  -44403.507812   12800.713867
         6  -43996.574219    9671.601562
         7  -43932.187500   10664.726562
         8  -43998.429688   10373.939453
         9  -44421.726562    9554.840820
        10  -44210.953125   10042.115234
