#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
670000,1339.999999982137,-46977.662418054126,6186.421336555015,-40791.24108149911,280.0886367152421,25.883046063382512,1.0240609540390544
675000,1349.9999999819006,-46569.7917647392,6213.767650672454,-40356.02411406675,281.3267340616161,26.934211952492458,0.9840947599230379
680000,1359.9999999816641,-46925.075042906916,6023.143995124321,-40901.93104778259,272.69629702806543,26.568116829128794,0.9976550846857086
685000,1369.9999999814277,-47057.683967134915,5978.875120401637,-41078.80884673328,270.69203509771023,26.82521504233942,0.9880933592990396
690000,1379.9999999811912,-46959.785087831726,6055.478855371683,-40904.30623246005,274.1602495189096,26.38796019618145,1.004466303876716
695000,1389.9999999809547,-46937.866963563545,6253.465885276806,-40684.40107828674,283.1240614348154,26.543178573766987,0.9985924169345857
700000,1399.9999999807183,-46832.17181405483,5965.843378247734,-40866.328435807096,270.1020263195587,26.004769695945374,1.0192675095767925
705000,1409.9999999804818,-46863.78665777942,6191.316956126178,-40672.469701653245,280.31028463363737,26.639404596478517,0.9949853326905103
710000,1419.9999999802453,-46435.04615129245,6039.466622326048,-40395.5795289664,273.4352997813258,26.321543560087505,1.0070008540569102
715000,1429.9999999800089,-46792.65155939985,6028.94326492252,-40763.70829447733,272.95885747834114,26.688075467769693,0.9931707843495303
720000,1439.9999999797724,-46882.61238960421,6323.198399810972,-40559.41398979324,286.28118311600315,26.556383352399973,0.9980958812566955
725000,1449.999999979536,-46647.7197011853,6147.275846927275,-40500.443854258025,278.3163347288581,26.389612818969105,1.0044034001912923
730000,1459.9999999792994,-46842.99737364077,6100.7035223703915,-40742.29385127038,276.2077846990179,26.271109512846202,1.008934047195202
735000,1469.999999979063,-46539.4535902341,6212.131601548401,-40327.3219886857,281.2526623578271,26.42488964228589,1.003062537021494
740000,1479.9999999788265,-46689.22209081071,6199.376050325462,-40489.84604048525,280.67515805312127,26.235672622805712,1.0102968285274205
745000,1489.99999997859,-47170.21805309254,6111.66368903591,-41058.55436405663,276.70400342912245,26.78416144938555,0.9896078656482392
750000,1499.9999999783536,-46983.438217960706,6219.159831482606,-40764.2783864781,281.5708636625395,26.609042342675238,0.9961206609301607
755000,1509.999999978117,-46904.195443342556,6032.276904650751,-40871.9185386918,273.10978716062175,26.532645133880813,0.9989888573626505
760000,1519.9999999778806,-46471.673203159764,6303.854019169845,-40167.81918398992,285.40537125206515,26.75002841213525,0.9908706053216684
765000,1529.9999999776442,-46479.238230325514,6198.914723106642,-40280.32350721887,280.65427158180455,26.172927784111273,1.0127188316010673
770000,1539.9999999774077,-46547.604067417036,6179.326191588616,-40368.27787582842,279.7674058496376,26.390313494949112,1.0043767327802788
