#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
875000,1749.9999999724419,-47754.823463504144,5682.129603538491,-42072.69385996566,257.2569580559253
880000,1759.9999999722054,-47754.76203247224,5655.238345965504,-42099.523686506735,256.03946327769694
885000,1769.999999971969,-47562.72951650206,5815.960518105179,-41746.76899839688,263.3161183316481
890000,1779.9999999717324,-47634.591851860576,5650.04806159644,-41984.543790264135,255.80447448627635
895000,1789.999999971496,-47478.91261522664,5819.2918503891615,-41659.62076483748,263.46694354498305
900000,1799.9999999712595,-47442.26881953946,5978.8372987524635,-41463.431520786995,270.6903227322603
905000,1809.999999971023,-47703.939972586755,5843.62267274518,-41860.317299841576,264.56851527654135
910000,1819.9999999707866,-47630.20307412837,5925.649315050452,-41704.55375907791,268.28225043419326
915000,1829.99999997055,-47634.09115245129,5740.8322838504955,-41893.258868600795,259.9147068262792
920000,1839.9999999703136,-47615.22650025418,5798.302008399243,-41816.92449185494,262.51663384119905
925000,1849.9999999700772,-47744.798165201326,5924.3911719301395,-41820.40699327119,268.22528832763925
930000,1859.9999999698407,-47754.05108110403,5858.714539683597,-41895.33654142043,265.25179567506376
935000,1869.9999999696042,-47435.25244395755,5763.782105296601,-41671.47033866095,260.9537540964215
940000,1879.9999999693678,-47558.69665462384,5778.394414431989,-41780.30224019185,261.6153226386107
945000,1889.9999999691313,-47610.38228758436,5761.472725099139,-41848.90956248522,260.84919750126335
950000,1899.9999999688948,-47640.009479973174,5733.257892053114,-41906.75158792006,259.5717781835209
955000,1909.9999999686584,-47972.036602083244,5753.990609072361,-42218.045993010885,260.51044662031336
960000,1919.999999968422,-48099.155582626874,6021.459711976565,-42077.69587065031,272.62004154124463
965000,1929.9999999681854,-47543.40640207415,6038.294264287395,-41505.11213778675,273.38222157230564
970000,1939.999999967949,-47483.855774040916,5662.816472749222,-41821.03930129169,256.3825610210021
975000,1949.9999999677125,-47860.01514094678,5646.068657752103,-42213.946483194675,255.62430799953646
980000,1959.999999967476,-47645.52362771385,5793.495201674681,-41852.02842603916,262.29900690161753
985000,1969.9999999672395,-47799.633599917695,5836.8336084118055,-41962.79999150589,264.2611421329646
990000,1979.999999967003,-47768.68166261609,5853.698114266248,-41914.98354834984,265.0246783030176
995000,1989.9999999667666,-47549.86027897755,5404.898755230677,-42144.96152374687,244.70540261964695
1000000,1999.9999999665301,-47557.938528072205,5609.590215814609,-41948.3483122576,253.97275591216146
1005000,2009.9999999662937,-47703.542367887916,5690.782357073815,-42012.760010814105,257.64870924933683
1010000,2019.9999999660572,-47742.00307735463,5708.623904650647,-42033.379172703986,258.45648073236805
1015000,2029.9999999658207,-47850.72063448251,5825.879230310217,-42024.84140417229,263.76518547860496
1020000,2039.9999999655843,-47764.20028331608,5729.651458448732,-42034.54882486735,259.4084978285786
1025000,2049.999999965348,-47611.5780330096,5785.064663253817,-41826.51336975578,261.9173164404259
1030000,2059.9999999651113,-47695.67902764352,5649.228460133914,-42046.45056750961,255.7673672406169
1035000,2069.999999964875,-48080.69404334802,5621.444696518967,-42459.24934682905,254.50946448062433
1040000,2079.9999999646384,-47897.2422119659,5697.27597625962,-42199.966235706284,257.9427061897575
1045000,2089.999999964402,-47531.40491489362,5884.649586488875,-41646.755328404746,266.42599825643555
1050000,2099.9999999641655,-47731.987601724046,5832.945289279613,-41899.042312444435,264.0850994831673
1055000,2109.999999963929,-47664.36561350955,5692.957868998368,-41971.40774451118,257.74720499283
1060000,2119.9999999636925,-47768.8196430527,5637.859372978602,-42130.9602700741,255.25263474038894
1065000,2129.999999963456,-47772.081005682354,5771.7421666348855,-42000.33883904747,261.3141438285653
1070000,2139.9999999632196,-47721.16808117769,5808.263560441483,-41912.90452073621,262.96764055077966
1075000,2149.999999962983,-47548.37471456226,5704.689359706095,-41843.68535485616,258.2783452207916
1080000,2159.9999999627466,-47673.07694210223,5977.784115533581,-41695.29282656865,270.6426401325891
1085000,2169.99999996251,-47688.53210696665,5748.518818175626,-41940.01328879103,260.26271269317175
1090000,2179.9999999622737,-47568.40871706634,5772.672567360349,-41795.73614970599,261.35626748238985
1095000,2189.9999999620372,-47663.14122457104,5755.52573429702,-41907.615490274016,260.5799490204848
1100000,2199.9999999618008,-47316.88122441247,5876.663818863102,-41440.21740554937,266.06444467872967
1105000,2209.9999999615643,-47920.99800833629,5698.6729477734825,-42222.325060562805,258.0059537161643
1110000,2219.999999961328,-47863.262743497675,5612.605570483862,-42250.65717301381,254.10927532016453
1115000,2229.9999999610914,-47925.757558718906,5747.000886370969,-42178.75667234794,260.193988720674
1120000,2239.999999960855,-47660.47799148579,5933.820484929171,-41726.65750655662,268.6521980512712
1125000,2249.9999999606184,-47637.45010582922,5799.858523966212,-41837.59158186301,262.5871046836233
1130000,2259.999999960382,-47482.43072659214,5871.939868676273,-41610.490857915865,265.85056904760813
1135000,2269.9999999601455,-47472.14116728213,5619.115792997389,-41853.02537428474,254.40402397198235
1140000,2279.999999959909,-47712.59963297745,5810.037422584222,-41902.562210393226,263.04795170358534
1145000,2289.9999999596726,-48120.30419860728,5711.088625578326,-42409.21557302895,258.56807033917966
1150000,2299.999999959436,-47809.09961107728,5675.9834504686705,-42133.11616060861,256.9786925546415
1155000,2309.9999999591996,-47715.367141624505,5649.837648392337,-42065.52949323217,255.7949480825159
1160000,2319.999999958963,-48118.313496126095,5778.723530451311,-42339.589965674786,261.6302232818353
1165000,2329.9999999587267,-47801.53662299551,5691.8509919525395,-42109.68563104297,257.6970914189378
1170000,2339.99999995849,-47761.01172373333,5893.079075856684,-41867.932647876645,266.8076412220195
1175000,2349.9999999582537,-47847.736467101844,5739.82957368786,-42107.90689341399,259.869309381263
1180000,2359.9999999580173,-47689.50573218556,5766.601227598669,-41922.904504586884,261.0813891344125
1185000,2369.999999957781,-47638.47740197688,5735.059665381861,-41903.417736595016,259.6533530081027
1190000,2379.9999999575443,-47570.69088768022,5918.781959078075,-41651.90892860215,267.9713326567739
1195000,2389.999999957308,-47658.20037799736,5741.859313276513,-41916.34106472085,259.9612053196973
1200000,2399.9999999570714,-47885.34493446222,5686.018425637282,-42199.32650882494,257.43302347740615
1205000,2409.999999956835,-48025.58392257738,5790.282411917475,-42235.301510659905,262.15354867072864
1210000,2419.9999999565985,-47403.27842998551,5724.213364039917,-41679.06506594559,259.1622895012709
1215000,2429.999999956362,-47328.788687158434,5800.550285857458,-41528.23840130097,262.6184240255352
1220000,2439.9999999561255,-47497.71349552198,5994.893678957189,-41502.81981656479,271.41727122113053
1225000,2449.999999955889,-47579.993802413985,5777.499660914229,-41802.49414149976,261.5748129029571
1230000,2459.9999999556526,-47729.51370700885,5744.579321409874,-41984.93438559898,260.08435298916265
1235000,2469.999999955416,-48010.644692351285,5849.970027838695,-42160.67466451259,264.8558901477589
1240000,2479.9999999551796,-47522.93806456489,5525.905778647347,-41997.03228591754,250.18396451802195
1245000,2489.999999954943,-47649.391068708384,5921.793617207721,-41727.59745150067,268.10768470489586
1250000,2499.9999999547067,-47645.08621052501,5641.805929881243,-42003.28028064377,255.43131409028197
1255000,2509.9999999544702,-47658.242862542276,5738.423585335118,-41919.819277207156,259.80565361979234
1260000,2519.9999999542338,-47851.81755590573,5769.316953449192,-42082.50060245654,261.20434292462255
1265000,2529.9999999539973,-47728.10806891398,5850.668321768089,-41877.43974714589,264.88750522601987
1270000,2539.999999953761,-47646.642482280964,5829.8009916899155,-41816.84149059105,263.9427422175667
1275000,2549.9999999535244,-47718.16504761926,5784.884308058887,-41933.280739560374,261.9091509053089
1280000,2559.999999953288,-47650.33730437653,5863.240130534262,-41787.09717384227,265.45669063819923
1285000,2569.9999999530514,-47964.60814905219,5827.50667478089,-42137.1014742713,263.83886760892267
1290000,2579.999999952815,-47377.459522696154,5789.173100698923,-41588.28642199723,262.10332489029173
1295000,2589.9999999525785,-47802.864319653716,5766.947022060757,-42035.91729759296,261.0970448898487
