# Cycle: 1400, status: ACC
#     Step              Filename       index    vel
         0    008_5593_trajB.trr          10     -1
         1    008_5593_trajB.trr           9     -1
         2    008_5593_trajB.trr           8     -1
         3    008_5593_trajB.trr           7     -1
         4    008_5593_trajB.trr           6     -1
         5    008_5593_trajB.trr           5     -1
         6    008_5593_trajB.trr           4     -1
         7    008_5593_trajB.trr           3     -1
         8    008_5593_trajB.trr           2     -1
         9    008_5593_trajB.trr           1     -1
        10    008_5593_trajB.trr           0     -1
        11    008_5594_trajF.trr           1      1
