#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
695000,1389.9999999809547,-44239.455290779646,5782.804695734159,-38456.65059504549,261.81499699156115
700000,1399.9999999807183,-44628.58187244076,5787.022571989988,-38841.55930045077,262.0059602554675
705000,1409.9999999804818,-44458.4465564774,5715.546805734443,-38742.89975074296,258.7699133004373
710000,1419.9999999802453,-44880.489261805604,5603.331125196445,-39277.158136609156,253.68937719239014
715000,1429.9999999800089,-44719.200108508114,5661.75451768299,-39057.445590825126,256.33448127819565
720000,1439.9999999797724,-44663.696276338946,5685.021573056021,-38978.67470328292,257.38789123288194
725000,1449.999999979536,-44729.455291707185,5633.159768878897,-39096.29552282829,255.03986137210737
730000,1459.9999999792994,-44236.53931036161,5742.2705300809075,-38494.2687802807,259.9798230548743
735000,1469.999999979063,-44759.21098364901,5739.4763518499385,-39019.734631799074,259.85331735329413
740000,1479.9999999788265,-44794.36068478116,5927.960922041085,-38866.399762740075,268.38690784684024
745000,1489.99999997859,-44664.92215061904,5749.197885582431,-38915.72426503661,260.29345729556184
750000,1499.9999999783536,-44391.32274937938,5500.354173087609,-38890.96857629177,249.02712214053557
755000,1509.999999978117,-44596.4375834525,5620.597038823855,-38975.84054462864,254.47108699624215
760000,1519.9999999778806,-44399.7220523358,5671.058357023328,-38728.66369531247,256.75571021416465
765000,1529.9999999776442,-44762.89705746365,5733.884657620442,-39029.0123998432,259.600154833565
770000,1539.9999999774077,-44337.11758521502,5885.134868388963,-38451.98271682605,266.4479692697926
775000,1549.9999999771712,-44555.74324551318,5859.284368666749,-38696.45887684643,265.2775945358864
780000,1559.9999999769348,-44516.16912422067,5664.123095882469,-38852.046028338205,256.4417180476872
785000,1569.9999999766983,-44588.60233774356,5845.544978496404,-38743.05735924716,264.65554717558587
790000,1579.9999999764618,-44369.08837933751,5676.556431173978,-38692.53194816353,257.0046341088751
795000,1589.9999999762254,-44431.291796136764,5855.362120528413,-38575.92967560835,265.1000157590523
800000,1599.9999999759889,-44500.1811554007,5643.554901224443,-38856.626254176255,255.510498318533
805000,1609.9999999757524,-44613.387271301704,5719.847541716117,-38893.53972958559,258.9646280171446
810000,1619.999999975516,-44605.07496716268,5613.625342516732,-38991.44962464595,254.15544523697235
815000,1629.9999999752795,-44638.105429215066,5830.022329055967,-38808.0831001591,263.95276320995293
820000,1639.999999975043,-44552.206197182764,5782.352104183146,-38769.854092999616,261.7945060253602
825000,1649.9999999748065,-44705.95989517268,5801.262073071313,-38904.69782210137,262.6506500087837
830000,1659.99999997457,-44596.30431744509,5786.418932197499,-38809.88538524759,261.9786306189382
835000,1669.9999999743336,-44764.80762458226,5706.976896123594,-39057.83072845866,258.38191284442377
840000,1679.9999999740971,-44898.54963685898,5593.238640868902,-39305.310995990076,253.2324425572291
845000,1689.9999999738607,-44792.05142687686,5759.543727325794,-39032.50769955107,260.7618626226364
850000,1699.9999999736242,-44781.347675928904,5765.9852062666105,-39015.362469662294,261.0534989268601
855000,1709.9999999733877,-44518.199313155725,5587.017767841626,-38931.1815453141,252.95079412906713
860000,1719.9999999731513,-44508.57720280136,5781.75852275758,-38726.81868004378,261.7676317788093
865000,1729.9999999729148,-44527.82397386915,5693.832702210976,-38833.991271658175,257.7868128417853
870000,1739.9999999726783,-44604.76895015169,5824.780285933974,-38779.988664217715,263.7154310542903
875000,1749.9999999724419,-44759.48741340928,5745.766712995163,-39013.72070041412,260.13811183814465
880000,1759.9999999722054,-44363.075123858056,5947.78247637422,-38415.29264748384,269.28432362709754
885000,1769.999999971969,-44476.73602773546,5837.718796351748,-38639.01723138371,264.3012187895399
890000,1779.9999999717324,-44261.13958408998,5678.657455553928,-38582.48212853605,257.09975744792223
895000,1789.999999971496,-44299.838981522014,6040.609094874249,-38259.229886647765,273.4870249324434
