#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
505000,1009.9999999899404,-42622.89130207751,6349.995229866612,-36272.8960722109,287.4944027126422,26.62829851658104,0.995367168729624
510000,1019.999999989704,-42469.48937480786,6478.057252009179,-35991.43212279868,293.2923778658966,26.992523065474924,0.9819361472154464
515000,1029.9999999894676,-42548.73905952583,6660.505169063197,-35888.23389046264,301.55266043948086,26.38123910578907,1.0046887485554197
520000,1039.9999999892311,-42395.103451122064,6615.041880597846,-35780.061570524216,299.4943217337724,26.909886821634217,0.9849515264860892
525000,1049.9999999889947,-42354.18893146323,6478.939993562351,-35875.24893790088,293.33234376293933,26.897110078549066,0.9854194010112143
530000,1059.9999999887582,-42260.36732913024,6593.63685056674,-35666.7304785635,298.5252144980858,26.558881461499364,0.9979687638938767
535000,1069.9999999885217,-42279.831719827955,6454.142330657108,-35825.689389170846,292.2096359454467,26.97488002158697,0.982578387052162
540000,1079.9999999882853,-42430.006210347055,6452.307112013207,-35977.69909833385,292.1265468928134,26.744164704400948,0.991054848618059
545000,1089.9999999880488,-42451.53161845618,6399.322320520954,-36052.20929793523,289.727674069843,26.598473453046704,0.9964832812426131
550000,1099.9999999878123,-42034.65825154452,6511.905269095842,-35522.75298244868,294.82483814390883,26.83052591923612,0.9878648738500437
555000,1109.9999999875758,-42595.88741263462,6481.879060439525,-36114.008352195095,293.4654092607544,26.78638760377639,0.989492666745396
560000,1119.9999999873394,-42150.068217677006,6412.120016732577,-35737.94820094443,290.30708647808433,26.328912603249577,1.0066854830634067
565000,1129.999999987103,-42357.95746370341,6685.194693788043,-35672.76276991537,302.6704723286369,26.483847912037557,1.0007961905901663
570000,1139.9999999868664,-42630.3731439088,6545.755098877818,-36084.618045030984,296.35738049123563,26.740582611076295,0.991187607541424
575000,1149.99999998663,-42264.03140212328,6444.186188027893,-35819.84521409538,291.7588741456511,26.811591700245426,0.9885624993421743
580000,1159.9999999863935,-42265.40339104738,6466.3721440021445,-35799.03124704523,292.763337602793,26.55942523218673,0.9979483317438597
585000,1169.999999986157,-42118.7183187129,6704.13106934194,-35414.58724937096,303.5278118670673,26.582030904809752,0.9970996647114994
590000,1179.9999999859206,-42297.355089625344,6476.8367473337,-35820.518342291645,293.237119830263,26.257078533894322,1.0094395714406021
595000,1189.999999985684,-42540.14072267269,6397.533235571447,-36142.60748710124,289.64667370837157,26.735864982772558,0.9913625057433212
600000,1199.9999999854476,-42404.77612349647,6231.670797990851,-36173.10532550562,282.1372944571216,26.75965452420054,0.9904811767493612
605000,1209.9999999852112,-42303.05726650247,6378.092335264362,-35924.96493123811,288.76649194135337,26.49400691019375,1.000412440155987
610000,1219.9999999849747,-42397.4325246716,6458.233681227514,-35939.19884344409,292.3948707914501,26.65379774019593,0.9944149183125631
615000,1229.9999999847382,-42098.57012386003,6508.143418818605,-35590.42670504143,294.65452133902966,26.670530277681646,0.9937910430193544
620000,1239.9999999845018,-42606.541992743616,6671.415494678831,-35935.12649806478,302.04662262885614,26.78358019620188,0.9895963836192117
625000,1249.9999999842653,-42509.6146131244,6528.802767712739,-35980.81184541166,295.58986805280597,26.591725602275883,0.9967361463848762
630000,1259.9999999840288,-42476.15862642572,6597.749205569468,-35878.40942085625,298.7114003143666,26.951524413381954,0.9834298682332159
635000,1269.9999999837923,-42341.269681441074,6419.922670553032,-35921.34701088804,290.66034962529653,26.630278080376133,0.9952931780336164
640000,1279.9999999835559,-42500.992990266706,6651.774295394005,-35849.2186948727,301.15737237707765,26.541400283812848,0.9986260641531196
645000,1289.9999999833194,-42077.97872578801,6735.993739758205,-35341.984986029805,304.9703860846147,26.77689101250872,0.9898435964860461
650000,1299.999999983083,-42352.82247994136,6441.714127219044,-35911.108352722316,291.64695222760514,26.6126754958092,0.9959515008819895
655000,1309.9999999828465,-42519.816449704056,6390.607054198403,-36129.209395505655,289.3330926260493,26.68603332324444,0.9932137077656205
660000,1319.99999998261,-42268.11571538943,6352.0259778970885,-35916.089737492344,287.586344308021,26.750198544008015,0.9908313038847917
665000,1329.9999999823735,-42075.489733282535,6577.855043943104,-35497.63468933943,297.81069725756123,26.372587553314165,1.0050183376566597
670000,1339.999999982137,-42475.819259092736,6473.587036427281,-36002.23222266545,293.08999000382863,26.61734289228946,0.9957768590874071
675000,1349.9999999819006,-42471.20438024495,6695.516815542147,-35775.6875647028,303.13780373929137,26.464284141292215,1.0015360310155101
680000,1359.9999999816641,-42100.22691633977,6202.119174175154,-35898.10774216462,280.7993522807051,26.538144574128463,0.9987485759790334
685000,1369.9999999814277,-42598.61206225993,6634.105477694629,-35964.5065845653,300.3574211948738,26.758816524823537,0.9905121954085114
690000,1379.9999999811912,-41982.63547354727,6858.229917044131,-35124.40555650314,310.50459760864953,26.395141328713223,1.0041595827222891
695000,1389.9999999809547,-42431.425925859425,6388.719941259132,-36042.705984600296,289.2476540725248,27.07504951912483,0.9789431440860117
700000,1399.9999999807183,-42264.267273128964,6892.144059878289,-35372.12321325068,312.04005171289174,26.591347041414448,0.9967503361622356
705000,1409.9999999804818,-42644.46548361244,6566.112466240322,-36078.353017372116,297.2790550687467,26.847221580036255,0.987250543730221
710000,1419.9999999802453,-42124.55592884001,6569.595344565105,-35554.96058427491,297.4367414901466,26.5785332793187,0.9972308789198894
715000,1429.9999999800089,-42313.72617385263,6472.856462310128,-35840.8697115425,293.05691344835964,26.868298944463326,0.986476075665308
720000,1439.9999999797724,-42286.36413880723,6395.247683415395,-35891.116455391835,289.5431959216667,27.26143955319682,0.9722499815468625
725000,1449.999999979536,-42396.008904405346,6359.833842602014,-36036.17506180333,287.93984337668894,26.611320836716597,0.9960022001601178
730000,1459.9999999792994,-42405.9116900221,6526.874235852966,-35879.037454169134,295.50255426829636,26.989192822398905,0.9820573100111207
735000,1469.999999979063,-42202.05910493422,6297.5346064963505,-35904.524498437866,285.1192614667356,26.697121237228014,0.9928012038083155
740000,1479.9999999788265,-42295.69769694074,6466.006046944396,-35829.69164999634,292.74676265255414,26.43422673794005,1.0026748414204598
745000,1489.99999997859,-42502.95702806994,6571.897214027571,-35931.05981404237,297.5409580387074,26.905587269668818,0.985108923172104
750000,1499.9999999783536,-42556.001586300554,6336.06639643998,-36219.935189860575,286.8637783575814,26.591711545698736,0.996736673267041
755000,1509.999999978117,-41965.881872483355,6474.677387643008,-35491.204484840346,293.1393553750084,26.836001880406748,0.9876632972621772
760000,1519.9999999778806,-42352.50532191718,6746.588363731569,-35605.91695818561,305.4500549632402,26.902267448609116,0.9852304885886806
765000,1529.9999999776442,-42337.216897349106,6658.365716839936,-35678.85118050917,301.45579728969994,26.98915883508089,0.9820585467111717
770000,1539.9999999774077,-42732.399149941106,6500.041807630742,-36232.357342310366,294.28772297381045,26.86127864973663,0.9867338948436989
775000,1549.9999999771712,-42709.75729000819,6469.760837909145,-36239.99645209904,292.9167598488739,26.762066073683457,0.9903919237610808
780000,1559.9999999769348,-42142.62341533415,6471.223923393909,-35671.39949194024,292.98300066832854,26.85558658608732,0.9869430339036996
785000,1569.9999999766983,-42239.59045988752,6495.241012392709,-35744.34944749481,294.0703682027372,26.926496062665606,0.9843439726005198
790000,1579.9999999764618,-42576.091171906446,6365.213984301667,-36210.87718760478,288.18342790997735,26.631946883686314,0.9952308112619586
795000,1589.9999999762254,-42455.35662804014,6388.8360363128795,-36066.52059172726,289.2529102462583,26.756473003160664,0.9905989514913108
800000,1599.9999999759889,-42327.644921470026,6435.3191287247,-35892.32579274532,291.35742031365464,26.561463076319068,0.9978717673186854
805000,1609.9999999757524,-42436.928228070436,6437.896181887694,-35999.03204618274,291.4740957335619,26.757678022650552,0.99055434033177
810000,1619.999999975516,-42709.41702545411,6646.478328191033,-36062.938697263075,300.9175988225019,26.31072909432983,1.0073812096772545
815000,1629.9999999752795,-42155.85433022049,6519.88776095942,-35635.96656926107,295.1862434123228,26.90553283775736,0.985110916121361
820000,1639.999999975043,-42309.835214328545,6533.184141277891,-35776.651073050656,295.78823361538934,26.763222252913256,0.9903491385328751
825000,1649.9999999748065,-42576.045071068744,6640.593744114781,-35935.45132695396,300.65117579020455,26.60172279382632,0.9963615630446212
830000,1659.99999997457,-42160.02675460611,6523.732161874495,-35636.29459273161,295.36029767612274,26.70911210296255,0.9923554927756888
835000,1669.9999999743336,-42380.296401247964,6581.337637501075,-35798.95876374689,297.9683707862169,26.576941697979855,0.9972905988859956
840000,1679.9999999740971,-42699.574601391854,6364.727588905473,-36334.84701248638,288.1614064833701,26.159963270193487,1.0131869769380024
845000,1689.9999999738607,-42473.84881920635,6554.718409175666,-35919.13041003069,296.76319206228806,27.136992192096674,0.9767086165966382
850000,1699.9999999736242,-42310.158540030534,6412.878350519759,-35897.28018951078,290.34141984548233,27.026928976220585,0.9806861196052521
855000,1709.9999999733877,-42477.14084252942,6446.047077274527,-36031.0937652549,291.8431254282283,26.450428240411497,1.0020606797602523
860000,1719.9999999731513,-42547.37422709883,6834.140184915448,-35713.23404218338,309.4139411751975,26.54417339942939,0.9985217359643336
865000,1729.9999999729148,-42224.246002468164,6522.423409698466,-35701.8225927697,295.30104425757264,26.82623804883621,0.9880227728645824
870000,1739.9999999726783,-42467.12446191168,6532.710111803531,-35934.41435010815,295.7667720527163,26.471884457516026,1.0012484810091073
