# Cycle: 1150, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44129.636719   10330.441406
         1  -44291.546875   10144.507812
         2  -44438.195312   12868.150391
         3  -44062.238281   10199.811523
         4  -44176.328125   10120.107422
         5  -44011.531250   10242.535156
         6  -44360.679688   10058.492188
         7  -44431.679688    9980.129883
         8  -43777.101562   10087.008789
         9  -44012.832031   10466.666016
