# Cycle: 500, status: ACC, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44346.695312   10032.027344
         1  -44077.773438   10325.103516
         2  -44120.203125   10186.998047
         3  -44299.394531   10306.767578
         4  -44939.609375    9709.071289
         5  -44169.371094   10521.549805
         6  -44193.941406   12970.972656
         7  -44652.648438    9996.291992
         8  -44395.132812   10291.547852
         9  -44441.304688   10076.103516
