# Cycle: 500, status: ACC
#     Step              Filename       index    vel
         0    002_2040_trajF.trr           6     -1
         1    002_2040_trajF.trr           5     -1
         2    002_2040_trajF.trr           4     -1
         3    002_2040_trajF.trr           3     -1
         4    002_2040_trajF.trr           2     -1
         5    002_2040_trajF.trr           1     -1
         6    002_2039_trajB.trr           0      1
         7    002_2039_trajB.trr           1      1
         8    002_2039_trajB.trr           2      1
         9    002_2039_trajB.trr           3      1
