# Cycle: 100, status: NCR, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44003.613281   10099.517578
         1  -43825.292969   10617.724609
         2  -44428.632812   10049.980469
         3  -44403.507812   12926.761719
         4  -44409.488281   10041.444336
         5  -44434.410156   10233.253906
         6  -44348.000000    9927.575195
         7  -44236.734375   10134.748047
         8  -44497.046875    9705.059570
         9  -44636.250000    9857.079102
        10  -44313.500000   10163.401367
        11  -43785.800781   10404.311523
        12  -44498.496094   10034.620117
        13  -43646.453125   10384.822266
        14  -43765.582031   10030.628906
        15  -44359.183594   10009.882812
        16  -44072.144531    9897.833984
