# Cycle: 1300, status: ACC, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44425.316406   10257.944336
         1  -44669.613281   10091.755859
         2  -44312.308594   10324.007812
         3  -44432.714844   10106.005859
         4  -44008.937500   13062.055664
         5  -44212.636719    9978.251953
         6  -44870.945312    9991.923828
         7  -44327.753906    9834.984375
         8  -44039.074219   10354.149414
         9  -44193.917969   10162.404297
        10  -44432.187500   10190.307617
        11  -43989.003906   10237.101562
        12  -43892.109375   10022.033203
        13  -44227.472656   10404.150391
        14  -44251.226562   10120.568359
        15  -44366.269531   10227.241211
