# Cycle: 1300, status: ACC
#     Step              Filename       index    vel
         0    006_5364_trajF.trr           4     -1
         1    006_5364_trajF.trr           3     -1
         2    006_5364_trajF.trr           2     -1
         3    006_5364_trajF.trr           1     -1
         4    006_5363_trajB.trr           0      1
         5    006_5363_trajB.trr           1      1
         6    006_5363_trajB.trr           2      1
         7    006_5363_trajB.trr           3      1
         8    006_5363_trajB.trr           4      1
         9    006_5363_trajB.trr           5      1
        10    006_5363_trajB.trr           6      1
        11    006_5363_trajB.trr           7      1
        12    006_5363_trajB.trr           8      1
        13    006_5363_trajB.trr           9      1
        14    006_5363_trajB.trr          10      1
        15    006_5363_trajB.trr          11      1
