# Cycle: 850, status: NCR, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44188.855469   10219.150391
         1  -44073.843750    9853.518555
         2  -44332.863281   10170.519531
         3  -44403.507812   12809.466797
         4  -44408.789062    9814.218750
         5  -44150.949219    9999.831055
         6  -44268.835938   10366.425781
         7  -44360.523438   10271.134766
         8  -44615.054688   10127.936523
         9  -44106.906250   10033.294922
        10  -44072.652344    9995.904297
        11  -43796.324219   10021.574219
