# Cycle: 1100, status: NCR
#     Step              Filename       index    vel
         0    004_4457_trajF.trr           6     -1
         1    004_4457_trajF.trr           5     -1
         2    004_4457_trajF.trr           4     -1
         3    004_4457_trajF.trr           3     -1
         4    004_4457_trajF.trr           2     -1
         5    004_4457_trajF.trr           1     -1
         6    004_4456_trajB.trr           0      1
         7    004_4456_trajB.trr           1      1
         8    004_4456_trajB.trr           2      1
         9    004_4456_trajB.trr           3      1
        10    004_4456_trajB.trr           4      1
        11    004_4456_trajB.trr           5      1
        12    004_4456_trajB.trr           6      1
        13    004_4456_trajB.trr           7      1
        14    004_4456_trajB.trr           8      1
        15    004_4456_trajB.trr           9      1
        16    004_4456_trajB.trr          10      1
        17    004_4456_trajB.trr          11      1
        18    004_4456_trajB.trr          12      1
