# Cycle: 1100, status: NCR, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44086.628906   10065.232422
         1  -44296.050781   10080.407227
         2  -44656.050781    9808.773438
         3  -44440.886719   10047.571289
         4  -44155.886719   10308.516602
         5  -44690.332031    9779.392578
         6  -43955.082031   12714.378906
         7  -43814.277344    9952.521484
         8  -44113.886719    9838.808594
         9  -43838.136719   10243.003906
        10  -43931.039062   10098.661133
        11  -43987.304688    9855.083984
        12  -43901.507812   10209.335938
        13  -43866.035156    9982.812500
        14  -43902.070312    9851.111328
        15  -44122.531250    9870.312500
        16  -44147.910156   10102.728516
        17  -43483.101562   10170.490234
        18  -44051.156250   10122.141602
