#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
505000,504.9999999949702,-37955.03103424674,6632.3421843243,-31322.68884992244,257.0697434604903
510000,509.999999994852,-37858.635922213696,6858.925042293573,-30999.710879920123,265.85210051504265
515000,514.9999999947338,-38227.20313550239,6745.177428032936,-31482.02570746945,261.44324023543635
520000,519.9999999946156,-37915.30649483952,6630.426530596741,-31284.879964242777,256.99549267568204
525000,524.9999999944973,-38167.15988402171,6592.0303131640585,-31575.129570857654,255.50725435941996
530000,529.9999999943791,-38314.77857110072,6411.090349058615,-31903.688222042103,248.49401697485408
535000,534.9999999942609,-38134.15143025393,6819.83994423311,-31314.31148602082,264.3371611689879
540000,539.9999999941426,-38383.114863980234,6749.595538638767,-31633.51932534147,261.61448630936565
545000,544.9999999940244,-38384.024374923305,6881.622523242387,-31502.40185168092,266.7318554255329
550000,549.9999999939062,-38110.82583520095,6859.315770255047,-31251.510064945905,265.8672451402787
555000,554.9999999937879,-37980.54263122404,6787.064998142783,-31193.477633081253,263.06680346589997
560000,559.9999999936697,-37925.1769134675,6618.484021841915,-31306.692891625582,256.53260074752825
565000,564.9999999935515,-37810.43860984704,6681.3834734746315,-31129.05513637241,258.9705850139681
570000,569.9999999934332,-37640.58804040055,6551.642151605558,-31088.945888794995,253.94180824066814
575000,574.999999993315,-37344.09374353397,6667.425629666444,-30676.668113867527,258.4295786504073
580000,579.9999999931968,-37653.68868243717,7005.422782012347,-30648.26590042482,271.53035644943304
585000,584.9999999930785,-37630.71872381531,6718.1169138419955,-30912.60180997332,260.394374050966
590000,589.9999999929603,-37680.69626681809,6724.349245782314,-30956.347021035777,260.635939387695
595000,594.999999992842,-37880.911051985124,6928.896171094413,-30952.01488089071,268.5641831595399
600000,599.9999999927238,-37972.77476665622,6679.694437647744,-31293.080329008477,258.9051179444704
605000,604.9999999926056,-38108.8838281045,6776.428035608126,-31332.455792496377,262.6545145408131
610000,609.9999999924873,-38166.493033620885,6522.395784776732,-31644.097248844155,252.80821835509087
615000,614.9999999923691,-38055.605292426735,6584.034319068976,-31471.57097335776,255.19732943492008
620000,619.9999999922509,-37923.85205100734,6834.271221571984,-31089.58082943536,264.8965178276477
625000,624.9999999921326,-37721.97582583764,6411.0964543308755,-31310.879371506762,248.49425361535455
630000,629.9999999920144,-37740.53923209039,6709.971780677133,-31030.56745141326,260.0786684925146
