#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
690000,689.9999999905956,-36552.83876595322,7227.698956413089,-29325.139809540135,280.1457863447166
695000,694.9999999904774,-36697.80158081276,7186.948389231566,-29510.853191581195,278.566293375252
700000,699.9999999903591,-36431.988829808855,7224.222029196574,-29207.76680061228,280.01102056171874
705000,704.9999999902409,-36811.66937723154,7356.437246637116,-29455.232130594424,285.1356855871973
710000,709.9999999901227,-36858.61180195626,6965.622814462757,-29892.9889874935,269.98770874469136
715000,714.9999999900044,-36199.947743091354,6993.778098254452,-29206.169644836904,271.07900822536277
720000,719.9999999898862,-36402.51639806333,7092.501391802798,-29310.01500626053,274.90552547081364
725000,724.999999989768,-36558.01397569525,7116.887659764116,-29441.126315931135,275.85073780675003
730000,729.9999999896497,-36591.71112780851,7080.0109871583445,-29511.700140650162,274.4213970847276
735000,734.9999999895315,-36368.34406103189,7251.2663368743015,-29117.077724157585,281.05925858134503
740000,739.9999999894133,-36569.9076384355,7324.9690061670835,-29244.938632268415,283.91597582555323
745000,744.999999989295,-36751.41021928558,6928.804974739693,-29822.605244545884,268.5606483866255
750000,749.9999999891768,-36470.287129051125,7233.122012204067,-29237.165116847056,280.3559841183257
755000,754.9999999890586,-36094.16758521459,7274.461592181878,-28819.705993032716,281.958307238019
760000,759.9999999889403,-36776.29317749963,7176.021615699628,-29600.271561800004,278.1427713689018
765000,764.9999999888221,-36511.28638366257,7107.437458121047,-29403.848925541522,275.48444776252165
770000,769.9999999887038,-36574.11002917684,6986.0388832554,-29588.071145921436,270.77903606483494
775000,774.9999999885856,-36539.654030754224,7265.274720040803,-29274.37931071342,281.6022238516563
780000,779.9999999884674,-36393.97201721993,7234.559936585418,-29159.412080634513,280.4117181021215
785000,784.9999999883491,-36218.929580155724,7262.817631325322,-28956.111948830403,281.5069870336222
790000,789.9999999882309,-36352.88803605875,7059.130792127891,-29293.757243930857,273.6120802203821
795000,794.9999999881127,-36463.380505323075,7291.882994962236,-29171.497510360838,282.6335612311036
800000,799.9999999879944,-36346.55730254601,7304.40315622812,-29042.15414631789,283.11884298455595
805000,804.9999999878762,-36482.74729305141,7140.991302514198,-29341.755990537215,276.78499558266395
810000,809.999999987758,-36393.653347985965,7279.689503887397,-29113.963844098565,282.1609412221564
815000,814.9999999876397,-36441.99953949876,7150.338172465258,-29291.661367033506,277.14728048801106
820000,819.9999999875215,-36118.963950130084,7133.028253296134,-28985.93569683395,276.47634760239396
825000,824.9999999874033,-36637.96132466444,7070.523772156847,-29567.43755250759,274.0536724018314
830000,829.999999987285,-36545.82039777394,7062.209747501427,-29483.610650272512,273.73142060512157
835000,834.9999999871668,-36499.577214728546,7123.831469729685,-29375.74574499886,276.1198800489441
840000,839.9999999870486,-36666.18949547963,7144.775578427038,-29521.413917052592,276.93167420856435
845000,844.9999999869303,-36774.62565241609,7245.177794214844,-29529.44785820125,280.8232665206195
850000,849.9999999868121,-36772.29438928142,7158.360273618631,-29613.934115662792,277.45821732272174
855000,854.9999999866939,-36758.52593707299,7308.703825092134,-29449.82211198086,283.2855370137322
860000,859.9999999865756,-36573.317852681655,7087.435821491991,-29485.882031189663,274.70918384306134
865000,864.9999999864574,-36538.41621284993,6846.664227074651,-29691.751985775278,265.37687102064257
870000,869.9999999863392,-36439.6289095369,6972.929217332844,-29466.699692204056,270.2709050966335
875000,874.9999999862209,-36982.69331559761,6949.57487631165,-30033.118439285958,269.3656902738523
880000,879.9999999861027,-36548.51143223864,7028.633891188204,-29519.87754105044,272.430019602425
885000,884.9999999859845,-36738.13676478316,7136.2648250738375,-29601.87193970932,276.60179720277085
890000,889.9999999858662,-36621.37891272417,7012.09599957476,-29609.282913149407,271.7890105235367
895000,894.999999985748,-36823.24568778665,7284.336820031433,-29538.908867755217,282.34107130828954
900000,899.9999999856298,-36827.294015687396,7309.576568300574,-29517.71744738682,283.3193645615977
