#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
795000,397.49999999405634,-33518.07187170489,9588.258336177625,-23929.81353552726,291.4895226074424
800000,399.9999999939972,-33772.35302116489,9460.196507976074,-24312.156513188816,289.0156615117826
805000,402.4999999939381,-33953.77772934758,9766.288525928145,-24187.489203419434,295.56944878455283
810000,404.999999993879,-33535.898095420096,9705.424524101041,-23830.473571319053,286.81400962338597
815000,407.49999999381987,-33776.339305485366,10073.701605243215,-23702.63770024215,306.20842944420093
820000,409.99999999376075,-33380.15113683115,10039.969797928972,-23340.181338902177,299.7397802539821
825000,412.49999999370164,-33250.5985655603,9647.007286862012,-23603.591278698288,291.60560011801226
830000,414.9999999936425,-33597.38313715276,9485.206533390075,-24112.176603762688,285.7778254309996
835000,417.4999999935834,-33456.64558889321,9632.993191723843,-23823.652397169368,295.145534936943
840000,419.9999999935243,-33361.64127740264,9795.290355167057,-23566.350922235582,297.10026996415235
845000,422.49999999346517,-33102.24407596933,9980.500573247607,-23121.74350272172,307.33622277716205
850000,424.99999999340605,-33624.605696592946,9699.35448146219,-23925.251215130756,292.51734384823254
855000,427.49999999334693,-33797.465354551794,9830.034029483446,-23967.431325068348,299.38800574742953
860000,429.9999999932878,-33509.872574800625,9859.942165761699,-23649.930409038927,301.30012582174106
865000,432.4999999932287,-33254.39453426888,9906.179757179327,-23348.214777089554,301.6527525861707
870000,434.9999999931696,-33290.540261140326,10074.131048840067,-23216.40921230026,305.2236784862031
875000,437.49999999311046,-33593.4102314678,9870.388331887498,-23723.021899580304,301.8489324227822
880000,439.99999999305135,-33318.1584224822,9939.718834713247,-23378.439587768953,297.25565012696137
885000,442.49999999299223,-33431.777149272384,9814.52859190438,-23617.248557368002,287.21522703837184
890000,444.9999999929331,-33494.24928883067,9858.001859597354,-23636.24742923332,301.5721328444086
895000,447.499999992874,-33479.82250926341,9687.904517757754,-23791.917991505656,297.27062588645475
900000,449.9999999928149,-33532.98708410957,9929.610625345973,-23603.376458763596,303.1890149109402
905000,452.49999999275576,-33512.58536862396,9752.294127647461,-23760.291240976498,300.70869243173127
910000,454.99999999269664,-33376.097416640725,9604.108943743653,-23771.988472897072,286.6233439857023
915000,457.4999999926375,-33097.46992351231,9913.958310626043,-23183.51161288627,296.50258854749353
920000,459.9999999925784,-33173.60940075456,9810.26263793497,-23363.346762819594,298.5075680327147
925000,462.4999999925193,-33693.350387207,9799.192783014898,-23894.1576041921,292.3826460458548
930000,464.9999999924602,-33292.002914285986,9815.897680453509,-23476.105233832477,286.0194955117003
935000,467.49999999240106,-33522.14085428463,9674.534406469356,-23847.606447815277,293.79398510985004
940000,469.99999999234194,-33275.253696437925,10274.310674167224,-23000.9430222707,309.584792462282
945000,472.4999999922828,-33072.38018886233,9626.34992320953,-23446.0302656528,285.20818217358504
950000,474.9999999922237,-33912.89648150513,10111.875805437878,-23801.02067606725,308.503208162309
955000,477.4999999921646,-33974.471679589944,9648.551479927355,-24325.92019966259,294.3898223765526
960000,479.9999999921055,-33997.77627192112,9604.967480081661,-24392.808791839456,292.35597211333993
965000,482.49999999204636,-33242.90863135154,9551.0017782147,-23691.906853136843,291.3232037315463
970000,484.99999999198724,-33449.478041435825,9649.153384056666,-23800.32465737916,288.10115141967424
975000,487.4999999919281,-33677.741027504904,10214.560422109294,-23463.18060539561,313.4296085947627
980000,489.999999991869,-33265.26519179414,9865.701721035792,-23399.56347075835,293.7531780315847
985000,492.4999999918099,-33667.12220740458,9676.585504704093,-23990.536702700487,290.2334807958756
990000,494.99999999175077,-33721.203662637156,10013.577561277434,-23707.62610135972,300.2490822142436
995000,497.49999999169165,-33442.92580906255,9990.124825279632,-23452.80098378292,307.04337373251167
1000000,499.99999999163254,-33395.48510287097,9530.383176094216,-23865.10192677675,290.6384460906343
1005000,502.4999999915734,-33048.29982761503,9817.904539126403,-23230.39528848863,294.71974646524376
1010000,504.9999999915143,-33062.56309428788,9713.835232313466,-23348.72786197441,293.6865134867623
1015000,507.4999999914552,-33368.802929054946,10161.456374994492,-23207.346554060452,302.65411395452844
1020000,509.99999999139607,-33475.88202551566,9926.521209159437,-23549.360816356224,293.0842372562787
1025000,512.499999991337,-33183.31648656749,9901.523139246432,-23281.793347321058,299.95525915798925
1030000,514.9999999912778,-33099.26769049885,9457.090556654706,-23642.17713384414,284.45802203493224
1035000,517.4999999912187,-33142.89477598574,9743.568754254966,-23399.326021730776,291.30986972099
1040000,519.9999999911596,-33764.25759575982,9885.873878435212,-23878.383717324607,302.89072920328806
1045000,522.4999999911005,-33088.45879204571,10035.130774397374,-23053.32801764834,305.33681909037324
1050000,524.9999999910414,-33508.05564052216,9766.094520655093,-23741.961119867065,293.9650115602803
1055000,527.4999999909822,-33280.52687837044,9716.355704962098,-23564.17117340834,292.1130200489372
1060000,529.9999999909231,-33678.27477226942,9886.89322914055,-23791.381543128868,305.02115979557203
