# Cycle: 1000, status: ACC
#     Step              Filename       index    vel
         0    010_3957_trajB.trr           3     -1
         1    010_3957_trajB.trr           2     -1
         2    010_3957_trajB.trr           1     -1
         3    010_3957_trajB.trr           0     -1
         4    010_3958_trajF.trr           1      1
         5    010_3958_trajF.trr           2      1
         6    010_3958_trajF.trr           3      1
         7    010_3958_trajF.trr           4      1
         8    010_3958_trajF.trr           5      1
