# Cycle: 850, status: ACC
#     Step              Filename       index    vel
         0    004_3344_trajF.trr           3     -1
         1    004_3344_trajF.trr           2     -1
         2    004_3344_trajF.trr           1     -1
         3    004_3343_trajB.trr           0      1
         4    004_3343_trajB.trr           1      1
         5    004_3343_trajB.trr           2      1
         6    004_3343_trajB.trr           3      1
         7    004_3343_trajB.trr           4      1
         8    004_3343_trajB.trr           5      1
         9    004_3343_trajB.trr           6      1
        10    004_3343_trajB.trr           7      1
