frame,file,lambda_A,w4_A,q,na,label,prob
0,000_205_trajB.trr,1.0837434232234955,8.152763545513153,0.23067415169425265,2,nonreactive,0.13
1,000_205_trajB.trr,1.0817690193653107,7.892542481422424,0.6432028667165892,1,nonreactive,0.13
2,000_205_trajB.trr,1.0909556597471237,7.922146022319794,0.9280554872372777,0,nonreactive,0.13
0,000_206_trajF.trr,1.0837434232234955,8.152763545513153,0.23067415169425265,2,nonreactive,0.13
1,000_206_trajF.trr,1.085498034954071,8.129826784133911,0.6346507621940998,1,nonreactive,0.13
0,000_1630_trajB.trr,1.0812018811702728,8.10079574584961,0.677828417777343,2,nonreactive,0.13
1,000_1630_trajB.trr,1.094006597995758,7.993790507316589,0.5499035097450757,1,nonreactive,0.13
0,001_301_trajB.trr,1.1014065146446228,7.889299690723419,0.4203466109010172,0,reactive,0.75
1,001_301_trajB.trr,1.0848157107830048,8.102944493293762,0.861050584932153,1,nonreactive,0.13
0,001_302_trajF.trr,1.1014065146446228,7.889299690723419,0.4203466109010172,0,reactive,0.75
1,001_302_trajF.trr,1.0802745819091797,7.988216876983643,0.8159731706379697,1,nonreactive,0.13
0,001_782_trajB.trr,1.0932518541812897,8.108568489551544,0.6049639726945089,0,nonreactive,0.13
1,001_782_trajB.trr,1.0778430849313736,8.186940848827362,0.6915571557620505,0,nonreactive,0.13
0,001_783_trajF.trr,1.0932518541812897,8.108568489551544,0.6049639726945089,0,nonreactive,0.13
1,001_783_trajF.trr,1.0926619917154312,8.313849568367004,0.2613406105277256,2,nonreactive,0.13
2,001_783_trajF.trr,1.0834617912769318,8.373504281044006,0.4822432119188945,1,nonreactive,0.13
0,001_945_trajF.trr,1.093663051724434,8.059211671352386,0.6862154033847894,0,nonreactive,0.13
1,001_945_trajF.trr,1.1165321618318558,8.29135537147522,0.6248340876574043,0,reactive,0.75
0,002_1180_trajB.trr,1.091512143611908,8.226670920848846,0.871430726787223,0,nonreactive,0.13
1,002_1180_trajB.trr,1.087716817855835,8.03070992231369,0.8344589619251727,1,nonreactive,0.13
2,002_1180_trajB.trr,1.084340363740921,8.18234235048294,0.6568980794208481,1,nonreactive,0.13
0,002_1181_trajF.trr,1.091512143611908,8.226670920848846,0.871430726787223,0,nonreactive,0.13
1,002_1181_trajF.trr,1.0923054814338684,7.843441069126129,0.7928472307742056,0,nonreactive,0.13
2,002_1181_trajF.trr,1.1027485877275467,7.927542626857758,0.8359935539192662,1,reactive,0.75
3,002_1181_trajF.trr,1.0876520723104477,7.920571863651276,0.6964885284759601,0,nonreactive,0.13
4,002_1181_trajF.trr,1.0911382734775543,7.7680617570877075,0.8122075324786117,1,nonreactive,0.13
5,002_1181_trajF.trr,1.0836336761713028,7.970078885555267,0.5922597037944528,0,nonreactive,0.13
0,002_1340_trajB.trr,1.0899558663368225,8.07912290096283,0.4797123056778496,2,nonreactive,0.13
1,002_1340_trajB.trr,1.094653382897377,7.8029897809028625,0.7645809377209609,0,nonreactive,0.13
2,002_1340_trajB.trr,1.1059422045946121,7.8485190868377686,0.6849811381942352,0,reactive,0.75
3,002_1340_trajB.trr,1.0953189432621002,8.033203184604645,0.8184999420911709,0,nonreactive,0.13
4,002_1340_trajB.trr,1.0870108008384705,8.071533143520355,0.5744496546829946,1,nonreactive,0.13
5,002_1340_trajB.trr,1.0782490670681,8.058547526597977,0.18792296422257193,0,nonreactive,0.13
0,002_1341_trajF.trr,1.0899558663368225,8.07912290096283,0.4797123056778496,2,nonreactive,0.13
1,002_1341_trajF.trr,1.0876091569662094,8.058642745018005,0.292052550822655,2,nonreactive,0.13
2,002_1341_trajF.trr,1.1002177745103836,8.372524678707123,0.8651774727960302,0,reactive,0.75
3,002_1341_trajF.trr,1.0861484706401825,8.031822144985199,0.380310717141804,2,nonreactive,0.13
4,002_1341_trajF.trr,1.100374311208725,7.8131261467933655,0.8818844461141023,0,reactive,0.75
5,002_1341_trajF.trr,1.0936873406171799,7.938956022262573,0.38397708811980125,0,nonreactive,0.13
6,002_1341_trajF.trr,1.1004558950662613,7.930907607078552,0.3108259842522162,2,reactive,0.75
7,002_1341_trajF.trr,1.092129647731781,8.406709730625153,0.660412065731611,0,nonreactive,0.13
8,002_1341_trajF.trr,1.0933783650398254,8.10636967420578,0.5573082832606433,0,nonreactive,0.13
9,002_1341_trajF.trr,1.0999145358800888,7.812545597553253,0.9662587304604633,0,nonreactive,0.13
10,002_1341_trajF.trr,1.0815925151109695,8.083817064762115,0.8336883628823681,1,nonreactive,0.13
0,001_207_trajB.trr,1.090366169810295,8.021387457847595,0.8736802815230642,1,nonreactive,0.13
1,001_207_trajB.trr,1.0900216549634933,7.994199991226196,0.5922901969642589,1,nonreactive,0.13
2,001_207_trajB.trr,1.1059197038412094,8.084586262702942,0.6480060619749961,0,reactive,0.75
3,001_207_trajB.trr,1.0877146571874619,8.060846626758575,0.7121487678823998,1,nonreactive,0.13
4,001_207_trajB.trr,1.1034845560789108,8.112195432186127,0.014875615757536376,0,reactive,0.75
