# Cycle: 400, status: ACC
#     Step              Filename       index    vel
         0    008_1565_trajB.trr           3     -1
         1    008_1565_trajB.trr           2     -1
         2    008_1565_trajB.trr           1     -1
         3    008_1565_trajB.trr           0     -1
         4    008_1566_trajF.trr           1      1
         5    008_1566_trajF.trr           2      1
         6    008_1566_trajF.trr           3      1
         7    008_1566_trajF.trr           4      1
         8    008_1566_trajF.trr           5      1
         9    008_1566_trajF.trr           6      1
