# Cycle: 1250, status: NCR
#     Step              Filename       index    vel
         0    007_5125_trajB.trr           2     -1
         1    007_5125_trajB.trr           1     -1
         2    007_5125_trajB.trr           0     -1
         3    007_5126_trajF.trr           1      1
         4    007_5126_trajF.trr           2      1
         5    007_5126_trajF.trr           3      1
         6    007_5126_trajF.trr           4      1
         7    007_5126_trajF.trr           5      1
         8    007_5126_trajF.trr           6      1
         9    007_5126_trajF.trr           7      1
