# Cycle: 1950, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44663.027344    9761.362305
         1  -44706.421875    9856.310547
         2  -44055.421875   10340.284180
         3  -44373.378906   10086.701172
         4  -43838.097656   12922.417969
         5  -44470.703125    9973.009766
         6  -44185.261719   10621.551758
         7  -44216.773438    9987.805664
         8  -43895.683594   10351.481445
         9  -44114.445312   10530.587891
