# Cycle: 1600, status: ACC
#     Step              Filename       index    vel
         0    006_6287_trajB.trr           6     -1
         1    006_6287_trajB.trr           5     -1
         2    006_6287_trajB.trr           4     -1
         3    006_6287_trajB.trr           3     -1
         4    006_6287_trajB.trr           2     -1
         5    006_6287_trajB.trr           1     -1
         6    006_6287_trajB.trr           0     -1
         7    006_6288_trajF.trr           1      1
         8    006_6288_trajF.trr           2      1
         9    006_6288_trajF.trr           3      1
