# Cycle: 1450, status: NCR
#     Step              Filename       index    vel
         0    007_5743_trajF.trr           4     -1
         1    007_5743_trajF.trr           3     -1
         2    007_5743_trajF.trr           2     -1
         3    007_5743_trajF.trr           1     -1
         4    007_5742_trajB.trr           0      1
         5    007_5742_trajB.trr           1      1
         6    007_5742_trajB.trr           2      1
         7    007_5742_trajB.trr           3      1
         8    007_5742_trajB.trr           4      1
         9    007_5742_trajB.trr           5      1
