# r (Angstrom)    gOH_inter
0.025000 0.000000
0.075000 0.000000
0.125000 0.000000
0.175000 0.000000
0.225000 0.000000
0.275000 0.000000
0.325000 0.000000
0.375000 0.000000
0.425000 0.000000
0.475000 0.000000
0.525000 0.000000
0.575000 0.000000
0.625000 0.000000
0.675000 0.000000
0.725000 0.000000
0.775000 0.000000
0.825000 0.000000
0.875000 0.000000
0.925000 0.000000
0.975000 0.000000
1.025000 0.000000
1.075000 0.000000
1.125000 0.000000
1.175000 0.000000
1.225000 0.000000
1.275000 0.000000
1.325000 0.000000
1.375000 0.000000
1.425000 0.000000
1.475000 0.000000
1.525000 0.000529
1.575000 0.009456
1.625000 0.073680
1.675000 0.296547
1.725000 0.731686
1.775000 1.243844
1.825000 1.592244
1.875000 1.671575
1.925000 1.518081
1.975000 1.251562
2.025000 0.974542
2.075000 0.737666
2.125000 0.552727
2.175000 0.419209
2.225000 0.325185
2.275000 0.258242
2.325000 0.218832
2.375000 0.195316
2.425000 0.182872
2.475000 0.181717
2.525000 0.192075
2.575000 0.211591
2.625000 0.243768
2.675000 0.289246
2.725000 0.352993
2.775000 0.433638
2.825000 0.532017
2.875000 0.656984
2.925000 0.804848
2.975000 0.967870
3.025000 1.144979
3.075000 1.312667
3.125000 1.468783
3.175000 1.583968
3.225000 1.653276
3.275000 1.673799
3.325000 1.653190
3.375000 1.586065
3.425000 1.504873
3.475000 1.407312
3.525000 1.316442
3.575000 1.229128
3.625000 1.158838
3.675000 1.100679
3.725000 1.058956
3.775000 1.032084
3.825000 1.013159
3.875000 1.000755
3.925000 0.991515
3.975000 0.988352
4.025000 0.984264
4.075000 0.981303
4.125000 0.978230
4.175000 0.973277
4.225000 0.968198
4.275000 0.963032
4.325000 0.960678
4.375000 0.954659
4.425000 0.951056
4.475000 0.948394
4.525000 0.944721
4.575000 0.945257
4.625000 0.947565
4.675000 0.949038
4.725000 0.954575
4.775000 0.957009
4.825000 0.964745
4.875000 0.971876
4.925000 0.979841
4.975000 0.988991
5.025000 0.997333
5.075000 1.004072
5.125000 1.012613
5.175000 1.020130
5.225000 1.025522
5.275000 1.032299
5.325000 1.035333
5.375000 1.036450
5.425000 1.036865
5.475000 1.037445
5.525000 1.034518
5.575000 1.029343
5.625000 1.023180
5.675000 1.016243
5.725000 1.011300
5.775000 1.000815
5.825000 0.994569
5.875000 0.987162
5.925000 0.980332
5.975000 0.973156
6.025000 0.967703
6.075000 0.964270
6.125000 0.961986
6.175000 0.959575
6.225000 0.958904
6.275000 0.960182
6.325000 0.959649
6.375000 0.962428
6.425000 0.963701
6.475000 0.968749
6.525000 0.972154
6.575000 0.976138
6.625000 0.978817
6.675000 0.984793
6.725000 0.986537
6.775000 0.992813
6.825000 0.996083
6.875000 1.001770
6.925000 1.006483
6.975000 1.009878
7.025000 1.014746
7.075000 1.019303
7.125000 1.022847
7.175000 1.024051
7.225000 1.027270
7.275000 1.028893
7.325000 1.030154
7.375000 1.030960
7.425000 1.032100
7.475000 1.031669
7.525000 1.031943
7.575000 1.031175
7.625000 1.028300
7.675000 1.026515
7.725000 1.023212
7.775000 1.020600
7.825000 1.016822
7.875000 1.014105
7.925000 1.010842
7.975000 1.007638
8.025000 1.004217
8.075000 0.999521
8.125000 0.996697
8.175000 0.994917
8.225000 0.991674
8.275000 0.989769
8.325000 0.988051
8.375000 0.986830
8.425000 0.986385
8.475000 0.986321
8.525000 0.983992
8.575000 0.986241
8.625000 0.986129
8.675000 0.986892
8.725000 0.987021
8.775000 0.987862
8.825000 0.989694
8.875000 0.990074
8.925000 0.992323
8.975000 0.993592
9.025000 0.995781
9.075000 0.996633
9.125000 0.997310
9.175000 0.998865
9.225000 1.001145
9.275000 1.001362
9.325000 1.002820
9.375000 1.003364
9.425000 1.004187
9.475000 1.004854
9.525000 1.004756
9.575000 1.006841
9.625000 1.006899
9.675000 1.006664
9.725000 1.006058
9.775000 1.006709
9.825000 1.005669
9.875000 1.006114
9.925000 1.005529
9.975000 1.004849
