# Cycle: 1750, status: ACC
#     Step              Filename       index    vel
         0    001_6957_trajF.trr           4     -1
         1    001_6957_trajF.trr           3     -1
         2    001_6957_trajF.trr           2     -1
         3    001_6957_trajF.trr           1     -1
         4    001_6956_trajB.trr           0      1
         5    001_6956_trajB.trr           1      1
         6    001_6956_trajB.trr           2      1
         7    001_6956_trajB.trr           3      1
         8    001_6956_trajB.trr           4      1
         9    001_6956_trajB.trr           5      1
